Human;universal-sentence-encoder-4 Biosses2017StopWords;universal-sentence-encoder-4 nltk2018StopWords;universal-sentence-encoder-4 NoneStopWords
3.5;0.886729273148519;0.886729273148519;0.89719902910808
2.5;0.8496368460818586;0.8496368460818586;0.8195480527294773
3.45;0.7541703700861137;0.7541703700861137;0.7624761286583835
4.0;0.8987920196611469;0.8987920196611469;0.8956354847896019
3.0;0.4656440665959833;0.4656440665959833;0.4244706221963647
2.0;0.5504657743343846;0.5504657743343846;0.5295781911989154
2.5;0.7594329244202722;0.7594329244202722;0.763099748808837
3.0;0.7923455414531535;0.7923455414531535;0.7883446601400679
0.0;-0.035735486969378616;-0.035735486969378616;-0.028837882268818085
2.5;0.5088605782060197;0.5088605782060197;0.5420783115370406
3.0;0.8267007873531058;0.8267007873531058;0.851694554852546
0.5;0.21071240879505207;0.20515928395992789;0.3225928021416196
3.0;0.6415265937040509;0.6415265937040509;0.6540424222875327
4.1;0.8528107572411435;0.8528107572411435;0.8341400855202298
3.5;0.8691173218533814;0.8691173218533814;0.7590463705093609
4.0;0.9369084757198413;0.9369084757198413;0.9401155924119053
2.5;0.9598458089054045;0.9598458089054045;0.9673173660291029
4.0;0.9382557781929282;0.9382557781929282;0.9523518686372062
4.0;0.905739554280072;0.905739554280072;0.8995905176784116
4.1;0.753339345637813;0.753339345637813;0.7491244990299359
4.0;0.8457990542899569;0.8457990542899569;0.8072205684327154
3.0;0.8521120890429916;0.8521120890429916;0.836589559083336
4.0;0.7912857875182332;0.7912857875182332;0.7638668600254384
3.0;0.882075909774626;0.882075909774626;0.8687199225456349
4.5;0.9686958442702769;0.9763627744541521;0.963089829748175
3.5;0.877106796116278;0.8684500561472607;0.8862734956118552
3.5;0.27615844540046963;0.27615844540046963;0.30563979627264165
3.0;0.8704656426146343;0.8704656426146343;0.8815016883894091
3.5;0.9519389817600535;0.9519389817600535;0.940624997910874
4.0;0.9861397665908521;0.9861397665908521;0.9853185448130676
4.0;0.9804761219290474;0.9804761219290474;0.9814645930928044
4.0;0.93846049632981;0.93846049632981;0.9243522056362597
3.0;0.7537242450811205;0.7537242450811205;0.7952846323022938
2.5;0.8498456681599929;0.8498456681599929;0.8524565176093062
2.5;0.5150917124449943;0.5286205393357267;0.5449931436984251
3.0;0.8263080166267249;0.8263080166267249;0.8120148156953505
0.0;0.026355475780480087;0.026355475780480087;0.10642925056370811
4.25;0.7934850507526702;0.7934850507526702;0.7652918589868597
3.0;0.6227871726787411;0.6227871726787411;0.6788735578708973
3.0;0.6510859321373141;0.6510859321373141;0.6137944967931516
4.0;0.832626221370246;0.832626221370246;0.7958155461827232
0.0;0.17848919038543198;0.18581931723525852;0.05130856938570215
3.5;0.5791098291569186;0.5791098291569186;0.5720757239813854
1.0;0.3286615403465892;0.34516747727745706;0.33594248093300555
0.0;0.16157356393478306;0.16157356393478306;0.12005134206609579
1.5;0.4082443623040756;0.4082443623040756;0.4896699533193256
3.6;0.6066603043747575;0.6066603043747575;0.6016888929762123
3.0;0.8950303844279328;0.8887866026322415;0.9009048626867054
3.0;0.8580931882991256;0.8489692720721055;0.8609790334233958
5.0;0.906071134409212;0.906071134409212;0.9064745459427452
3.5;0.5802379940197347;0.5802379940197347;0.5666672619207815
0.0;0.2648388390485377;0.2504538762875103;0.27854628796666164
4.0;0.6799503068496126;0.6733562483924475;0.6241472500345893
4.5;0.9375701668402493;0.9375701668402493;0.9487632002196664
3.0;0.8198263220357188;0.8198263220357188;0.8095438676065905
3.5;0.8896340440931892;0.8896340440931892;0.8861734948243466
4.0;0.9359306458938561;0.9359306458938561;0.9417283400645022
3.0;0.9167282577038417;0.9167282577038417;0.9118789301479193
3.0;0.7465038557179728;0.7465038557179728;0.7536003086670565
3.5;0.9003993961401509;0.9003993961401509;0.852386013421377
2.5;0.5928009460977918;0.5928009460977918;0.6567909276094586
3.5;0.8349144611943659;0.8349144611943659;0.8177308690245929
3.5;0.5227197405432128;0.5245350120221932;0.6012364677096874
3.0;0.9180257674448491;0.9180257674448491;0.9194161774829026
4.5;0.7555966070814902;0.7555966070814902;0.6274184131218132
2.5;0.43601264722197836;0.4068386582845927;0.427623518772881
3.5;0.45972099660234755;0.45972099660234755;0.4516326315621512
3.0;0.7409713349649771;0.7409713349649771;0.7020904052521655
2.5;0.8467793613490577;0.8467793613490577;0.8512637571028304
4.0;0.7470261746835734;0.7470261746835734;0.7741751756389729
3.5;0.8151796629108139;0.8151796629108139;0.729855811085773
3.5;0.5103723178812499;0.5103723178812499;0.4825749776110774
3.0;0.8326152094144269;0.8326152094144269;0.8167417045303466
2.5;0.9030036935022386;0.9030036935022386;0.9145229061075172
4.0;0.7451590639617265;0.7451590639617265;0.7343630239610347
3.5;0.6085170297026303;0.5459555557281052;0.742028599427062
2.5;0.5759469982294203;0.5726552359165769;0.6257456021150122
2.5;0.8697337737707397;0.8697337737707397;0.8666591003617449
5.0;0.9631099038239803;0.9631099038239803;0.9432350581460062
4.25;0.7974617777429992;0.8135924989802953;0.7495642009090662
2.5;0.6281320890969081;0.6281320890969081;0.6146428003607544
2.95;0.8534868509402745;0.8534868509402745;0.8704746000337484
3.0;0.812828250766566;0.812828250766566;0.8570827231516636
3.45;0.8951747444117236;0.8951747444117236;0.9066645300887206
2.5;0.8407893267661402;0.8407893267661402;0.8411869083870326
0.5;0.4904593880770916;0.4904593880770916;0.5136337135577393
