Human;BioWordVec_extrinsic StanfordCoreNLPv3_9_1;BioWordVec_extrinsic BioCNLPTokenizer;BioWordVec_extrinsic WhiteSpace;BioWordVec_intrinsic StanfordCoreNLPv3_9_1;BioWordVec_intrinsic BioCNLPTokenizer;BioWordVec_intrinsic WhiteSpace;bioc_skipgram_defaultchar StanfordCoreNLPv3_9_1;bioc_skipgram_defaultchar BioCNLPTokenizer;bioc_skipgram_defaultchar WhiteSpace;bioc_skipgram_Defaultchar200dim_8ene StanfordCoreNLPv3_9_1;bioc_skipgram_Defaultchar200dim_8ene BioCNLPTokenizer;bioc_skipgram_Defaultchar200dim_8ene WhiteSpace;bioc_skipgram_Nonechar200dim StanfordCoreNLPv3_9_1;bioc_skipgram_Nonechar200dim BioCNLPTokenizer;bioc_skipgram_Nonechar200dim WhiteSpace;stanford_skipgram_nonechar200dim StanfordCoreNLPv3_9_1;stanford_skipgram_nonechar200dim BioCNLPTokenizer;stanford_skipgram_nonechar200dim WhiteSpace;stanf_skipgram_defaultchar200dim StanfordCoreNLPv3_9_1;stanf_skipgram_defaultchar200dim BioCNLPTokenizer;stanf_skipgram_defaultchar200dim WhiteSpace;BioNLP2016_PubMed-shuffle-win-2 StanfordCoreNLPv3_9_1;BioNLP2016_PubMed-shuffle-win-2 BioCNLPTokenizer;BioNLP2016_PubMed-shuffle-win-2 WhiteSpace;BioNLP2016_PubMed-shuffle-win-30 StanfordCoreNLPv3_9_1;BioNLP2016_PubMed-shuffle-win-30 BioCNLPTokenizer;BioNLP2016_PubMed-shuffle-win-30 WhiteSpace
3.5;0.9946522866887935;0.9935725754171454;0.9935725754171454;0.9964839804474909;0.995725965368544;0.995725965368544;0.9961860800125801;0.9950485251480893;0.9950485251480893;0.9970479795913666;0.9961443239304351;0.9961443239304351;0.9973983656628541;0.996676744326667;0.996676744326667;0.9970716237267058;0.9962314686024668;0.9962314686024668;0.9970785145909361;0.996187699236734;0.996187699236734;0.9888903715036529;0.9879296188966564;0.9879296188966564;0.990863644994022;0.9894790745526546;0.9894790745526546
2.5;0.9621745379902209;0.9621745379902209;0.9621745379902209;0.971883201536337;0.971883201536337;0.971883201536337;0.9674034213526823;0.9674034213526823;0.9674034213526823;0.9743636055263646;0.9743636055263646;0.9743636055263646;0.9754807055438193;0.9754807055438193;0.9754807055438193;0.9722513098760927;0.9722513098760927;0.9722513098760927;0.9744342578817282;0.9744342578817282;0.9744342578817282;0.9545715003086238;0.9545715003086238;0.9545715003086238;0.9575925350675726;0.9575925350675726;0.9575925350675726
3.45;0.9815728293435808;0.9815728293435808;0.9815728293435808;0.9880742074963252;0.9880742074963252;0.9880742074963252;0.9855632325658155;0.9855632325658155;0.9855632325658155;0.9885143094494553;0.9885143094494553;0.9885143094494553;0.9909279872648961;0.9909279872648961;0.9909279872648961;0.9885223602522638;0.9885223602522638;0.9885223602522638;0.9885001994721347;0.9885001994721347;0.9885001994721347;0.9648965523946291;0.9648965523946291;0.9648965523946291;0.9730612601523378;0.9730612601523378;0.9730612601523378
4.0;0.9919313021828381;0.9916514502241852;0.9916514502241852;0.9938331204540712;0.9936996743028526;0.9936996743028526;0.9925924105774016;0.9921486384104228;0.9921486384104228;0.9937687983103494;0.9935119110352727;0.9935119110352727;0.994502767557251;0.994424720132729;0.994424720132729;0.9934801136398393;0.9934517534131466;0.9934517534131466;0.9939147861894331;0.9936417813093585;0.9936417813093585;0.9886954640648971;0.9886954640648971;0.9886954640648971;0.9870838875693171;0.9870838875693171;0.9870838875693171
3.0;0.9519472532788936;0.9519472532788936;0.9519472532788936;0.9635901374614008;0.9635901374614008;0.9635901374614008;0.9594017268913076;0.9594017268913076;0.9594017268913076;0.9679759143287245;0.9679759143287245;0.9679759143287245;0.971791517188517;0.971791517188517;0.971791517188517;0.968619168306759;0.968619168306759;0.968619168306759;0.9689584968950392;0.9689584968950392;0.9689584968950392;0.9277580088737996;0.9277580088737996;0.9277580088737996;0.936011373723582;0.936011373723582;0.936011373723582
2.0;0.9240074826149691;0.9240074826149691;0.9240074826149691;0.9411895707742258;0.9411895707742258;0.9411895707742258;0.9295641180833997;0.9295641180833997;0.9295641180833997;0.9437616370169192;0.9437616370169192;0.9437616370169192;0.9436850029946615;0.9436850029946615;0.9436850029946615;0.9357440430358858;0.9357440430358858;0.9357440430358858;0.9431649308567077;0.9431649308567077;0.9431649308567077;0.8959072442408512;0.8959072442408512;0.8959072442408512;0.902225612655367;0.902225612655367;0.902225612655367
2.5;0.9825927477473929;0.9834191025944734;0.9834191025944734;0.9872864829122109;0.9880535101533444;0.9880535101533444;0.982879535376373;0.9857907978114796;0.9857907978114796;0.9859177975094807;0.9885219090424282;0.9885219090424282;0.9871766955484179;0.9897144218372362;0.9897144218372362;0.985721128450951;0.9885625421034125;0.9885625421034125;0.9889257668158913;0.9888598512141271;0.9888598512141271;0.9792770495671917;0.9792770495671917;0.9792770495671917;0.9785413722408847;0.9785413722408847;0.9785413722408847
3.0;0.9444165727485196;0.9444165727485196;0.9444165727485196;0.9577274333728417;0.9577274333728417;0.9577274333728417;0.9539633954734867;0.9539633954734867;0.9539633954734867;0.9544955900248622;0.9544955900248622;0.9544955900248622;0.9613213241792435;0.9613213241792435;0.9613213241792435;0.9539669974122463;0.9539669974122463;0.9539669974122463;0.9544421578021842;0.9544421578021842;0.9544421578021842;0.9255261500610087;0.9255261500610087;0.9255261500610087;0.9308060123199294;0.9308060123199294;0.9308060123199294
0.0;0.9168586894966927;0.9168586894966927;0.9168586894966927;0.9408406150148314;0.9408406150148314;0.9408406150148314;0.9166389413076609;0.9166389413076609;0.9166389413076609;0.9332825181228661;0.9332825181228661;0.9332825181228661;0.9422428633265831;0.9422428633265831;0.9422428633265831;0.9353902396341617;0.9353902396341617;0.9353902396341617;0.9350486822265246;0.9350486822265246;0.9350486822265246;0.8737615513685929;0.8737615513685929;0.8737615513685929;0.8795096307006843;0.8795096307006843;0.8795096307006843
2.5;0.8810096202806795;0.8810096202806795;0.8810096202806795;0.8887442335606246;0.8887442335606246;0.8887442335606246;0.8914827480689018;0.8914827480689018;0.8914827480689018;0.9072250542066415;0.9072250542066415;0.9072250542066415;0.9115152561423416;0.9115152561423416;0.9115152561423416;0.9061124891607653;0.9061124891607653;0.9061124891607653;0.909291653972496;0.909291653972496;0.909291653972496;0.8826099316533016;0.8826099316533016;0.8826099316533016;0.8449723891048015;0.8449723891048015;0.8449723891048015
