Human;BioWordVec_extrinsic Average;BioWordVec_extrinsic Max;BioWordVec_extrinsic Min;BioWordVec_extrinsic Sum;bioc_skipgram_defaultchar Average;bioc_skipgram_defaultchar Max;bioc_skipgram_defaultchar Min;bioc_skipgram_defaultchar Sum;stanf_skipgram_defaultchar200dim Average;stanf_skipgram_defaultchar200dim Max;stanf_skipgram_defaultchar200dim Min;stanf_skipgram_defaultchar200dim Sum;BioNLP2016_PubMed-shuffle-win-2 Average;BioNLP2016_PubMed-shuffle-win-2 Max;BioNLP2016_PubMed-shuffle-win-2 Min;BioNLP2016_PubMed-shuffle-win-2 Sum
4.0;0.9510660772880848;0.9400665861486228;0.934767684679046;0.9510660772880848;0.9578032099314276;0.9395360497846166;0.9680056281749467;0.9578032099314276;0.9626993637455792;0.9533469377758563;0.9534733044612795;0.9626993637455792;0.9257305399905698;0.9301406184561134;0.9328467158490927;0.9257305399905698
3.0;0.9556731292571977;0.9416775644523406;0.953165501904973;0.9556731292571977;0.9617898324858423;0.9373416655619478;0.9431249981409893;0.9617898324858423;0.9708262959617454;0.9518834484974388;0.9283781477260387;0.9708262959617454;0.9202352978308699;0.9508753637345667;0.9402006050190665;0.9202352978308699
2.2;0.948499921673979;0.9360688134589558;0.9522797976561699;0.948499921673979;0.9546447711601136;0.9364517487402795;0.9350807222691452;0.9546447711601136;0.9625688346461424;0.9381530081980368;0.943336109775018;0.9625688346461424;0.9197503093661554;0.9407775986607161;0.9399576000456834;0.9197503093661554
3.2;0.975051403396811;0.9617441499926732;0.9724700286914192;0.975051403396811;0.982732496417397;0.9715396435319815;0.9757207667397362;0.982732496417397;0.986543703795967;0.9611307497288261;0.9658358222178044;0.986543703795967;0.947649212008317;0.9508902053453856;0.95750128433992;0.947649212008317
3.2;0.9488047129848638;0.9615566680352449;0.9738703914326979;0.9488047129848638;0.9669373732661934;0.9661950230779619;0.9710355505554118;0.9669373732661934;0.9722360463294971;0.9757179869535306;0.9728327488468848;0.9722360463294971;0.9048489757644718;0.9555357791247577;0.9353344806984158;0.9048489757644718
3.2;0.9475502590201591;0.9385537498775242;0.955862699709467;0.9475502590201591;0.9475009428516656;0.9413275611782145;0.9482482355311574;0.9475009428516656;0.9560167041576159;0.9450243064317438;0.9544228084338058;0.9560167041576159;0.9215965968689485;0.9289734866681687;0.9433559230491312;0.9215965968689485
1.4;0.888480024489272;0.9085338684305331;0.929182913061917;0.888480024489272;0.906313533893215;0.8891270006133566;0.8903497644929842;0.906313533893215;0.9330533017024538;0.919487931870115;0.8909711676376685;0.9330533017024538;0.8529421275876152;0.8993540808409981;0.9054169826337484;0.8529421275876152
3.0;0.9567230433194424;0.9346998510234408;0.9563362929275513;0.9567230433194424;0.9648471447909864;0.9471599284769019;0.9569397775739913;0.9648471447909864;0.9710968559802222;0.9550441415203775;0.9506730540018923;0.9710968559802222;0.9299472904460618;0.944808933121988;0.9372519525524989;0.9299472904460618
1.4;0.914298115023391;0.9146963361253192;0.9467485490729532;0.914298115023391;0.9031539499496886;0.9198109500566302;0.9251601558547675;0.9031539499496886;0.9273278748106585;0.9268499578403789;0.9235840863348348;0.9273278748106585;0.8743325833215331;0.9425575874888635;0.9493026840588871;0.8743325833215331
3.0;0.9663566801680071;0.9377799896591001;0.9479271630788189;0.9663566801680071;0.9725193429312443;0.9495787027174093;0.9479840584314683;0.9725193429312443;0.9778163532746665;0.9529123024916554;0.9526434886435865;0.9778163532746665;0.9467991533090427;0.9474487309252871;0.9511236224695682;0.9467991533090427
