Human;BioWordVec_extrinsic Average;BioWordVec_extrinsic Max;BioWordVec_extrinsic Min;BioWordVec_extrinsic Sum;bioc_skipgram_defaultchar Average;bioc_skipgram_defaultchar Max;bioc_skipgram_defaultchar Min;bioc_skipgram_defaultchar Sum;stanf_skipgram_defaultchar200dim Average;stanf_skipgram_defaultchar200dim Max;stanf_skipgram_defaultchar200dim Min;stanf_skipgram_defaultchar200dim Sum;BioNLP2016_PubMed-shuffle-win-2 Average;BioNLP2016_PubMed-shuffle-win-2 Max;BioNLP2016_PubMed-shuffle-win-2 Min;BioNLP2016_PubMed-shuffle-win-2 Sum
3.5;0.9946522866887935;0.9975304590807953;0.9968482850283814;0.9946522866887935;0.9961860800125801;0.9999171180947686;0.9979410503056538;0.9961860800125801;0.9970785145909361;0.997880150330075;0.9977311589635256;0.9970785145909361;0.9888903715036529;0.992778518766923;0.9894359233413995;0.9888903715036529
2.5;0.9621745379902209;0.9675316598851087;0.9707085133699987;0.9621745379902209;0.9674034213526823;0.9632750837628942;0.9766879317468564;0.9674034213526823;0.9744342578817282;0.9608943831168073;0.9716990083599268;0.9744342578817282;0.9545715003086238;0.974446788235157;0.9577691086338942;0.9545715003086238
3.45;0.9815728293435808;0.972588671998551;0.9737746373211916;0.9815728293435808;0.9855632325658155;0.968028463524189;0.9804669443016084;0.9855632325658155;0.9885001994721347;0.9744697393538859;0.9747079770134163;0.9885001994721347;0.9648965523946291;0.9626622206050414;0.976209193699358;0.9648965523946291
4.0;0.9919313021828381;0.9918937830833837;0.9917098225746088;0.9919313021828381;0.9925924105774016;0.9933985794194357;0.9888750159958853;0.9925924105774016;0.9939147861894331;0.9853552921037471;0.989200520844005;0.9939147861894331;0.9886954640648971;0.9942859806904741;0.9930588575286027;0.9886954640648971
3.0;0.9519472532788936;0.9510674948260321;0.9641671920461329;0.9519472532788936;0.9594017268913076;0.9667693390105521;0.9545600666172228;0.9594017268913076;0.9689584968950392;0.9504216064818255;0.9649887103338554;0.9689584968950392;0.9277580088737996;0.9557009734099275;0.957878859365305;0.9277580088737996
2.0;0.9240074826149691;0.9551667260404506;0.9475019717547721;0.9240074826149691;0.9295641180833997;0.9443568940514275;0.9480263724002981;0.9295641180833997;0.9431649308567077;0.9529009893567454;0.9498844794327842;0.9431649308567077;0.8959072442408512;0.9477513927871516;0.9622456182894804;0.8959072442408512
2.5;0.9825927477473929;0.9796016742915108;0.9784434566804077;0.9825927477473929;0.982879535376373;0.9819527205527429;0.9774607082014424;0.982879535376373;0.9889257668158913;0.96452847713543;0.9737428629991993;0.9889257668158913;0.9792770495671917;0.9755780623283334;0.9826001619578942;0.9792770495671917
3.0;0.9444165727485196;0.9404670532612901;0.9463379982171575;0.9444165727485196;0.9539633954734867;0.9407741959472259;0.9588996984831041;0.9539633954734867;0.9544421578021842;0.9457407476997831;0.960835394041896;0.9544421578021842;0.9255261500610087;0.935610030007174;0.9428036658519745;0.9255261500610087
0.0;0.9168586894966927;0.8906764812018415;0.8921714763960233;0.9168586894966927;0.9166389413076609;0.8671767317024293;0.8876494327199204;0.9166389413076609;0.9350486822265246;0.8751256682548743;0.8817421813544969;0.9350486822265246;0.8737615513685929;0.8833486278511119;0.900913185086731;0.8737615513685929
2.5;0.8810096202806795;0.9462909778778646;0.936941080984289;0.8810096202806795;0.8914827480689018;0.9493107001758899;0.941915670216109;0.8914827480689018;0.909291653972496;0.9398082788455642;0.9544450834646032;0.909291653972496;0.8826099316533016;0.9514550925157338;0.9527801980700424;0.8826099316533016
