Human;Jaccard;Qgram;BlockDistance;OverlapCoefficient;Levenshtein
3.5;0.8461538461538461;0.9230769230769231;0.9166666865348816;1.0;0.8736842105263158
2.5;0.4166666666666667;0.6729559748427674;0.6499999761581421;0.7692307692307693;0.6149732620320856
3.45;0.47058823529411764;0.631578947368421;0.6399999856948853;0.6666666666666666;0.5172413793103448
4.0;0.7049180327868853;0.8235294117647058;0.8318583965301514;1.0;0.6987951807228916
3.0;0.15789473684210525;0.30434782608695654;0.25;0.3333333333333333;0.3982300884955752
2.0;0.24;0.42105263157894735;0.375;0.4;0.49593495934959353
2.5;0.42;0.5843920145190562;0.5789473652839661;0.75;0.5443786982248521
3.0;0.3888888888888889;0.5851528384279476;0.5925925970077515;0.5833333333333334;0.6
0.0;0.0;0.043010752688172005;0.0;0.0;0.22330097087378642
2.5;0.3125;0.4540540540540541;0.476190447807312;0.5;0.5591397849462365
3.0;0.75;0.8900523560209423;0.8571428656578064;0.9;0.8775510204081632
0.5;0.0;0.2272727272727273;0.0;0.0;0.3090909090909091
3.0;0.35714285714285715;0.48920863309352514;0.5;0.6818181818181818;0.36603773584905663
4.1;0.6875;0.8306451612903226;0.8148148059844971;0.8461538461538461;0.8095238095238095
3.5;0.7272727272727273;0.8409090909090909;0.800000011920929;1.0;0.7551020408163265
4.0;0.8;0.8782816229116945;0.9056603908538818;0.9523809523809523;0.8355555555555556
2.5;0.3793103448275862;0.5322997416020672;0.48888885974884033;0.6470588235294118;0.5252100840336135
4.0;0.8461538461538461;0.8657187993680885;0.8571428656578064;0.9565217391304348;0.752906976744186
4.0;0.5833333333333334;0.7551867219917012;0.7037037014961243;0.8235294117647058;0.5692307692307692
4.1;0.6153846153846154;0.71875;0.761904776096344;0.8888888888888888;0.5357142857142857
4.0;0.8;0.7948717948717949;0.800000011920929;0.8888888888888888;0.8181818181818181
3.0;0.5714285714285714;0.7397769516728625;0.699999988079071;0.9411764705882353;0.6123076923076923
4.0;0.6428571428571429;0.7807017543859649;0.800000011920929;0.8181818181818182;0.7966101694915254
3.0;0.6153846153846154;0.7526881720430108;0.761904776096344;0.8;0.7676767676767677
4.5;0.8305084745762712;0.9066985645933014;0.8818897604942322;0.9607843137254902;0.8248847926267281
3.5;0.7;0.7469879518072289;0.7368420958518982;0.875;0.7764705882352941
3.5;0.14285714285714285;0.2857142857142857;0.23529410362243652;0.3333333333333333;0.3232323232323232
3.0;0.6296296296296297;0.7955390334572491;0.7666666507720947;0.9444444444444444;0.6578073089700996
3.5;0.782608695652174;0.8754578754578755;0.8666666746139526;1.0;0.7828947368421053
4.0;0.9354838709677419;0.9609856262833676;0.961240291595459;0.9830508474576272;0.4747474747474747
4.0;0.875;0.9530685920577617;0.9508196711540222;0.9545454545454546;0.921146953405018
4.0;0.8;0.9473684210526316;0.8888888955116272;0.9230769230769231;0.9578947368421052
3.0;0.35;0.5291005291005291;0.5185185074806213;0.5384615384615384;0.5851063829787234
