Human;sent2vec None;sent2vec Default;sent2vec BIOSSES;sent2vec Blagec
4.0;0.7761552013133918;0.7917604647919134;0.7244317971127492;0.7244317971127492
3.0;0.7898178255464883;0.6937307599483679;0.6630445645423005;0.6630445645423005
2.2;0.5771291958778875;0.5698640897466954;0.5589655061531168;0.5589655061531168
3.2;0.7864145727155211;0.7799928881596623;0.7704425759263503;0.7704425759263503
3.2;0.6613726538562662;0.680838459351605;0.6431334065789927;0.6431334065789927
3.2;0.6154482445681931;0.6908191183525575;0.5847054513262724;0.5847054513262724
1.4;0.4354469425434595;0.4635133994225686;0.4635133994225686;0.4635133994225686
3.0;0.6757130926594354;0.668319379752534;0.668319379752534;0.668319379752534
1.4;0.48213081414586123;0.46572924438857455;0.4804640982934113;0.4804640982934113
3.0;0.6272619993324584;0.6353077448508756;0.6089877380723343;0.6089877380723343
3.0;0.6922833786679856;0.6851041925280834;0.6851041925280834;0.6851041925280834
1.0;0.47612091121071237;0.49117758800908423;0.49117758800908423;0.49117758800908423
3.0;0.4607964547348264;0.4591151019654099;0.4591151019654099;0.4591151019654099
2.0;0.5085353412104798;0.6253615891219083;0.5678780379151089;0.5678780379151089
2.4;0.7684919575071679;0.7305683300945827;0.7611800724437411;0.7611800724437411
3.4;0.5779663790235863;0.6122329796440139;0.5976050605425595;0.5976050605425595
3.0;0.7306311668066032;0.7240843395682582;0.7264454973953872;0.7264454973953872
2.0;0.612549839052525;0.6275810388430269;0.6234782049221531;0.6234782049221531
3.2;0.710672975749701;0.7226092994462507;0.6600797895923438;0.6600797895923438
2.0;0.6723164515556347;0.6667774699105439;0.6569601098094711;0.6569601098094711
3.0;0.6910870353431662;0.6960076531583047;0.6042787097831384;0.6042787097831384
1.2;0.5456469190928513;0.5595744070421603;0.5031079593222841;0.5031079593222841
3.4;0.6355961155742478;0.7758536255060234;0.5840004077959501;0.5840004077959501
1.8;0.531069353911131;0.5756739728650784;0.5597628430710586;0.5597628430710586
3.6;0.534590358239017;0.5690495565262159;0.46381570326960425;0.46381570326960425
