Human;universal-sentence-encoder-4 None;universal-sentence-encoder-4 Default;universal-sentence-encoder-4 BIOSSES;universal-sentence-encoder-4 Blagec
3.5;0.9518184581796649;0.89719902910808;0.9518184581796649;0.9518184581796649
2.5;0.8195480527294773;0.8195480527294773;0.8195480527294773;0.8195480527294773
3.45;0.7624761286583835;0.7624761286583835;0.7624761286583835;0.7624761286583835
4.0;0.8930789958195544;0.8956354847896019;0.8930789958195544;0.8930789958195544
3.0;0.41229635087630057;0.4244706221963647;0.41229635087630057;0.41229635087630057
2.0;0.5295781911989154;0.5295781911989154;0.5295781911989154;0.5295781911989154
2.5;0.7417479557356367;0.763099748808837;0.7417479557356367;0.7417479557356367
3.0;0.7883446601400679;0.7883446601400679;0.7883446601400679;0.7883446601400679
0.0;-0.028837882268818085;-0.028837882268818085;-0.028837882268818085;-0.028837882268818085
2.5;0.5420783115370406;0.5420783115370406;0.5420783115370406;0.5420783115370406
3.0;0.851694554852546;0.851694554852546;0.851694554852546;0.851694554852546
0.5;0.3225928021416196;0.3225928021416196;0.3225928021416196;0.3225928021416196
3.0;0.6727186366556847;0.6540424222875327;0.6727186366556847;0.6727186366556847
4.1;0.8341400855202298;0.8341400855202298;0.8341400855202298;0.8341400855202298
3.5;0.7590463705093609;0.7590463705093609;0.7590463705093609;0.7590463705093609
4.0;0.9401155924119053;0.9401155924119053;0.9401155924119053;0.9401155924119053
2.5;0.9673173660291029;0.9673173660291029;0.9673173660291029;0.9673173660291029
4.0;0.9539809821230435;0.9523518686372062;0.9539809821230435;0.9539809821230435
4.0;0.9030437277732165;0.8995905176784116;0.9030437277732165;0.9030437277732165
4.1;0.7491244990299359;0.7491244990299359;0.7491244990299359;0.7491244990299359
4.0;0.8072205684327154;0.8072205684327154;0.8072205684327154;0.8072205684327154
3.0;0.8386623605183737;0.836589559083336;0.8386623605183737;0.8386623605183737
4.0;0.7638668600254384;0.7638668600254384;0.7638668600254384;0.7638668600254384
3.0;0.8687199225456349;0.8687199225456349;0.8687199225456349;0.8687199225456349
4.5;0.963089829748175;0.963089829748175;0.963089829748175;0.963089829748175
