Human;Jaccard;Qgram;BlockDistance;OverlapCoefficient;Levenshtein
2.6666666666666665;0.21739130434782608;0.4069264069264069;0.32258063554763794;0.35714285714285715;0.31034482758620685
1.3333333333333333;0.047619047619047616;0.22680412371134018;0.1666666865348816;0.125;0.2727272727272727
4.0;0.23809523809523808;0.47457627118644063;0.37037038803100586;0.38461538461538464;0.5564516129032258
2.6666666666666665;0.17391304347826086;0.4375;0.27586209774017334;0.3076923076923077;0.34375
2.6666666666666665;0.18518518518518517;0.4717607973421927;0.29411762952804565;0.35714285714285715;0.3550295857988166
1.6666666666666667;0.047619047619047616;0.10778443113772451;0.09090906381607056;0.1;0.19512195121951215
2.3333333333333335;0.2;0.35443037974683544;0.30000001192092896;0.375;0.35
1.0;0.0;0.20512820512820518;0.0;0.0;0.3423423423423423
1.6666666666666667;0.2222222222222222;0.45833333333333337;0.3636363744735718;0.5;0.4629629629629629
3.0;0.0625;0.273972602739726;0.11764705181121826;0.125;0.3013698630136986
1.6666666666666667;0.125;0.2684563758389261;0.2222222089767456;0.2222222222222222;0.2191780821917808
1.3333333333333333;0.047619047619047616;0.19387755102040816;0.08695650100708008;0.1111111111111111;0.30833333333333335
1.3333333333333333;0.058823529411764705;0.2857142857142857;0.10526317358016968;0.1111111111111111;0.2574850299401198
1.0;0.09523809523809523;0.16410256410256407;0.1666666865348816;0.4;0.20529801324503316
1.6666666666666667;0.15384615384615385;0.3538461538461538;0.2666666507720947;0.4;0.2441860465116279
2.3333333333333335;0.15789473684210525;0.3495145631067961;0.260869562625885;0.3;0.24137931034482762
3.0;0.3;0.5758754863813229;0.4285714030265808;0.5;0.5109489051094891
2.3333333333333335;0.043478260869565216;0.32432432432432434;0.07999998331069946;0.1;0.26277372262773724
3.0;0.13636363636363635;0.2730923694779116;0.19354838132858276;0.3333333333333333;0.2655367231638418
1.6666666666666667;0.12903225806451613;0.2892307692307692;0.22857141494750977;0.23529411764705882;0.3595505617977528
