Human;WBSM Lin None;WBSM Lin Default;WBSM Lin BIOSSES;WBSM Lin Blagec;WBSM Cai None;WBSM Cai Default;WBSM Cai BIOSSES;WBSM Cai Blagec;WBSM Resnik None;WBSM Resnik Default;WBSM Resnik BIOSSES;WBSM Resnik Blagec;WBSM WuPalmerFast None;WBSM WuPalmerFast Default;WBSM WuPalmerFast BIOSSES;WBSM WuPalmerFast Blagec;WBSM JiangConrath None;WBSM JiangConrath Default;WBSM JiangConrath BIOSSES;WBSM JiangConrath Blagec;WBSM CosineNormJiangConrath None;WBSM CosineNormJiangConrath Default;WBSM CosineNormJiangConrath BIOSSES;WBSM CosineNormJiangConrath Blagec
3.5;0.9428090415820635;0.9309493362512627;0.9309493362512627;0.9309493362512627;0.9428090415820635;0.9309493362512627;0.9309493362512627;0.9309493362512627;0.9428090415820635;0.9309493362512627;0.9309493362512627;0.9309493362512627;0.9428090415820635;0.9309493362512627;0.9309493362512627;0.9309493362512627;0.9428090415820635;0.9309493362512627;0.9309493362512627;0.9309493362512627;0.9428090415820635;0.9309493362512627;0.9309493362512627;0.9309493362512627
2.5;0.6254627916220946;0.5879747322073337;0.5879747322073337;0.5879747322073337;0.6254627916220946;0.5879747322073337;0.5879747322073337;0.5879747322073337;0.6254627916220946;0.5879747322073337;0.5879747322073337;0.5879747322073337;0.8692191903346598;0.8587671834622287;0.8587671834622287;0.8587671834622287;0.8693182879212227;0.8587538611150074;0.8587538611150074;0.8587538611150074;0.6254627916220946;0.5879747322073337;0.5879747322073337;0.5879747322073337
3.45;0.6676978608895885;0.6262242910851494;0.6262242910851494;0.6262242910851494;0.6676978608895885;0.6262242910851494;0.6262242910851494;0.6262242910851494;0.6676978608895885;0.6262242910851494;0.6262242910851494;0.6262242910851494;0.9789450103725611;0.9770084209183943;0.9770084209183943;0.9770084209183943;0.9789450103725611;0.9770084209183943;0.9770084209183943;0.9770084209183943;0.6676978608895885;0.6262242910851494;0.6262242910851494;0.6262242910851494
4.0;0.8587782018658835;0.8485281374238569;0.8485281374238569;0.8485281374238569;0.8587782018658835;0.8485281374238569;0.8485281374238569;0.8485281374238569;0.8587782018658835;0.8485281374238569;0.8485281374238569;0.8485281374238569;0.9151502608861563;0.9092121131323904;0.9092121131323904;0.9092121131323904;0.9151502608861563;0.9092121131323904;0.9092121131323904;0.9092121131323904;0.8587782018658835;0.8485281374238569;0.8485281374238569;0.8485281374238569
3.0;0.3619613829965134;0.3464101615137754;0.3380617018914066;0.3380617018914066;0.3619613829965134;0.3464101615137754;0.3380617018914066;0.3380617018914066;0.3619613829965134;0.3464101615137754;0.3380617018914066;0.3380617018914066;0.7744030926623664;0.7979249985750353;0.7835467939002064;0.7835467939002064;0.7744030926623664;0.7979249985750353;0.7835467939002064;0.7835467939002064;0.3619613829965134;0.3464101615137754;0.3380617018914066;0.3380617018914066
2.0;0.46819109191731184;0.45454545454545453;0.45454545454545453;0.45454545454545453;0.46819109191731184;0.45454545454545453;0.45454545454545453;0.45454545454545453;0.46819109191731184;0.45454545454545453;0.45454545454545453;0.45454545454545453;0.7369555266607762;0.7407407407407407;0.7407407407407407;0.7407407407407407;0.7369555266607762;0.7407407407407407;0.7407407407407407;0.7407407407407407;0.46819109191731184;0.45454545454545453;0.45454545454545453;0.45454545454545453
2.5;0.6972166887783963;0.678091890852701;0.678091890852701;0.678091890852701;0.6972166887783963;0.678091890852701;0.678091890852701;0.678091890852701;0.6972166887783963;0.678091890852701;0.678091890852701;0.678091890852701;0.8386278693775346;0.8339078479367937;0.8339078479367937;0.8339078479367937;0.8386278693775346;0.8339078479367937;0.8339078479367937;0.8339078479367937;0.6972166887783963;0.678091890852701;0.678091890852701;0.678091890852701
3.0;0.6013377943029549;0.5400617248673217;0.5400617248673217;0.5400617248673217;0.6013377943029549;0.5400617248673217;0.5400617248673217;0.5400617248673217;0.6013377943029549;0.5400617248673217;0.5400617248673217;0.5400617248673217;0.8677218312746247;0.8520128672302585;0.8520128672302585;0.8520128672302585;0.8677218312746247;0.8520128672302585;0.8520128672302585;0.8520128672302585;0.6013377943029549;0.5400617248673217;0.5400617248673217;0.5400617248673217
0.0;0.27820744203732856;0.24343224778007383;0.24343224778007383;0.24343224778007383;0.27820744203732856;0.24343224778007383;0.24343224778007383;0.24343224778007383;0.27820744203732856;0.24343224778007383;0.24343224778007383;0.24343224778007383;0.7139141355713498;0.7183254632931731;0.7183254632931731;0.7183254632931731;0.7089490077940542;0.7126966450997985;0.7126966450997985;0.7126966450997985;0.27820744203732856;0.24343224778007383;0.24343224778007383;0.24343224778007383
2.5;0.592999453328881;0.5222329678670935;0.5222329678670935;0.5222329678670935;0.592999453328881;0.5222329678670935;0.5222329678670935;0.5222329678670935;0.592999453328881;0.5222329678670935;0.5222329678670935;0.5222329678670935;0.9146591207600472;0.9036961141150639;0.9036961141150639;0.9036961141150639;0.9146591207600472;0.9036961141150639;0.9036961141150639;0.9036961141150639;0.592999453328881;0.5222329678670935;0.5222329678670935;0.5222329678670935
