Human;Jaccard Biosses2017;Jaccard nltk2018;Jaccard None;Qgram Biosses2017;Qgram nltk2018;Qgram None;BlockDistance Biosses2017;BlockDistance nltk2018;BlockDistance None;OverlapCoefficient Biosses2017;OverlapCoefficient nltk2018;OverlapCoefficient None;Levenshtein Biosses2017;Levenshtein nltk2018;Levenshtein None
3.5;0.8666666666666667;0.8666666666666667;0.8823529411764706;0.9333333333333333;0.9333333333333333;0.9371980676328502;0.9285714030265808;0.9285714030265808;0.9375;1.0;1.0;1.0;0.8910891089108911;0.8910891089108911;0.897196261682243
2.5;0.4166666666666667;0.4166666666666667;0.39285714285714285;0.6729559748427674;0.6729559748427674;0.6510263929618768;0.6499999761581421;0.6499999761581421;0.6086956262588501;0.7692307692307693;0.7692307692307693;0.7857142857142857;0.6149732620320856;0.6149732620320856;0.5853658536585367
3.45;0.47058823529411764;0.47058823529411764;0.45454545454545453;0.631578947368421;0.631578947368421;0.6326530612244898;0.6399999856948853;0.6399999856948853;0.6060606241226196;0.6666666666666666;0.6666666666666666;0.6666666666666666;0.5172413793103448;0.5172413793103448;0.505050505050505
4.0;0.7142857142857143;0.7142857142857143;0.7272727272727273;0.8291571753986333;0.8291571753986333;0.8351012536162006;0.8429751992225647;0.8429751992225647;0.8433734774589539;1.0;1.0;1.0;0.70703125;0.70703125;0.7159468438538206
3.0;0.15;0.15;0.2;0.28260869565217395;0.28260869565217395;0.2753036437246964;0.24000000953674316;0.24000000953674316;0.30000001192092896;0.3333333333333333;0.3333333333333333;0.4;0.3739130434782608;0.3739130434782608;0.37254901960784315
2.0;0.24;0.24;0.29411764705882354;0.42105263157894735;0.42105263157894735;0.44982698961937717;0.375;0.375;0.4399999976158142;0.4;0.4;0.45454545454545453;0.49593495934959353;0.49593495934959353;0.5135135135135135
2.5;0.4423076923076923;0.4423076923076923;0.515625;0.583916083916084;0.583916083916084;0.6296296296296297;0.585365891456604;0.585365891456604;0.6722688674926758;0.7666666666666667;0.7666666666666667;0.825;0.5552325581395349;0.5552325581395349;0.5823389021479713
3.0;0.3888888888888889;0.3888888888888889;0.3684210526315789;0.5851528384279476;0.5851528384279476;0.5726495726495726;0.5925925970077515;0.5925925970077515;0.5714285373687744;0.5833333333333334;0.5833333333333334;0.5833333333333334;0.6;0.6;0.5769230769230769
0.0;0.0;0.0;0.13793103448275862;0.043010752688172005;0.043010752688172005;0.21886792452830184;0.0;0.0;0.3500000238418579;0.0;0.0;0.26666666666666666;0.22330097087378642;0.22330097087378642;0.31506849315068497
2.5;0.3125;0.3125;0.35294117647058826;0.4540540540540541;0.4540540540540541;0.47120418848167545;0.476190447807312;0.476190447807312;0.52173912525177;0.5;0.5;0.5454545454545454;0.5591397849462365;0.5591397849462365;0.5729166666666667
3.0;0.75;0.75;0.8125;0.8900523560209423;0.8900523560209423;0.9066666666666666;0.8571428656578064;0.8571428656578064;0.8965517282485962;0.9;0.9;0.9285714285714286;0.8775510204081632;0.8775510204081632;0.8956521739130435
0.5;0.05263157894736842;0.05263157894736842;0.1935483870967742;0.2247191011235955;0.2247191011235955;0.34944237918215615;0.08695650100708008;0.08695650100708008;0.3478260636329651;0.16666666666666666;0.16666666666666666;0.5;0.3035714285714286;0.3035714285714286;0.3173652694610778
3.0;0.38636363636363635;0.38636363636363635;0.3770491803278688;0.5;0.5;0.5435540069686411;0.5151515007019043;0.5151515007019043;0.5769230723381042;0.7083333333333334;0.7083333333333334;0.6764705882352942;0.36071428571428577;0.36071428571428577;0.3700564971751412
4.1;0.6875;0.6875;0.7391304347826086;0.8306451612903226;0.8306451612903226;0.8511904761904762;0.8148148059844971;0.8148148059844971;0.8571428656578064;0.8461538461538461;0.8461538461538461;0.8947368421052632;0.8095238095238095;0.8095238095238095;0.8160919540229885
3.5;0.7272727272727273;0.7272727272727273;0.6111111111111112;0.8409090909090909;0.8409090909090909;0.7345132743362832;0.800000011920929;0.800000011920929;0.6470588445663452;1.0;1.0;0.9166666666666666;0.7551020408163265;0.7551020408163265;0.5772357723577235
4.0;0.8;0.8;0.8214285714285714;0.8782816229116945;0.8782816229116945;0.8864142538975501;0.9056603908538818;0.9056603908538818;0.9180327653884888;0.9523809523809523;0.9523809523809523;0.9583333333333334;0.8355555555555556;0.8355555555555556;0.8458333333333333
2.5;0.3793103448275862;0.3793103448275862;0.41025641025641024;0.533678756476684;0.533678756476684;0.5336225596529285;0.48888885974884033;0.48888885974884033;0.5074626803398132;0.6470588235294118;0.6470588235294118;0.7272727272727273;0.5252100840336135;0.5252100840336135;0.5017182130584192
4.0;0.8461538461538461;0.8461538461538461;0.8571428571428571;0.8670886075949367;0.8670886075949367;0.8646408839779005;0.8571428656578064;0.8571428656578064;0.8484848737716675;0.9565217391304348;0.9565217391304348;0.9375;0.7551020408163265;0.7551020408163265;0.75
4.0;0.5833333333333334;0.5833333333333334;0.59375;0.7567567567567568;0.7567567567567568;0.7639639639639639;0.7037037014961243;0.7037037014961243;0.7272727489471436;0.8235294117647058;0.8235294117647058;0.7916666666666666;0.5714285714285714;0.5714285714285714;0.5791245791245792
4.1;0.6153846153846154;0.6153846153846154;0.6842105263157895;0.71875;0.71875;0.7224334600760456;0.761904776096344;0.761904776096344;0.7692307829856873;0.8888888888888888;0.8888888888888888;0.8666666666666667;0.5357142857142857;0.5357142857142857;0.543046357615894
4.0;0.8;0.8;0.6363636363636364;0.7948717948717949;0.7948717948717949;0.73109243697479;0.800000011920929;0.800000011920929;0.6976743936538696;0.8888888888888888;0.8888888888888888;0.9333333333333333;0.8181818181818181;0.8181818181818181;0.6666666666666667
3.0;0.5714285714285714;0.5714285714285714;0.6216216216216216;0.7411545623836127;0.7411545623836127;0.7346278317152104;0.699999988079071;0.699999988079071;0.6976743936538696;0.9411764705882353;0.9411764705882353;0.9583333333333334;0.6141975308641976;0.6141975308641976;0.6233062330623307
4.0;0.6428571428571429;0.6428571428571429;0.5714285714285714;0.7807017543859649;0.7807017543859649;0.7575757575757576;0.800000011920929;0.800000011920929;0.7428570985794067;0.8181818181818182;0.8181818181818182;0.8571428571428571;0.7966101694915254;0.7966101694915254;0.7482517482517482
3.0;0.6153846153846154;0.6153846153846154;0.6;0.7526881720430108;0.7526881720430108;0.7487179487179487;0.761904776096344;0.761904776096344;0.75;0.8;0.8;0.75;0.7676767676767677;0.7676767676767677;0.7843137254901961
4.5;0.819672131147541;0.819672131147541;0.8227848101265823;0.8731082654249127;0.8728121353558926;0.8548812664907652;0.8529411554336548;0.8592592477798462;0.8450704216957092;0.9259259259259259;0.9259259259259259;0.9285714285714286;0.8018433179723502;0.7995391705069125;0.7774030354131535
3.5;0.7272727272727273;0.7272727272727273;0.7333333333333333;0.75;0.75;0.7551020408163265;0.761904776096344;0.761904776096344;0.7586206793785095;0.8888888888888888;0.8888888888888888;0.9166666666666666;0.7790697674418605;0.7790697674418605;0.7864077669902912
