Human;biobert_v1.0_pubmed Biosses2017;biobert_v1.0_pubmed nltk2018;biobert_v1.0_pubmed None;biobert_v1.0_pmc Biosses2017;biobert_v1.0_pmc nltk2018;biobert_v1.0_pmc None;biobert_v1.0_pubmed_pmc Biosses2017;biobert_v1.0_pubmed_pmc nltk2018;biobert_v1.0_pubmed_pmc None;NCBI_BERT_pubmed_mimic_uncased_L-12_H-768_A-12 Biosses2017;NCBI_BERT_pubmed_mimic_uncased_L-12_H-768_A-12 nltk2018;NCBI_BERT_pubmed_mimic_uncased_L-12_H-768_A-12 None;NCBI_BERT_pubmed_mimic_uncased_L-24_H-1024_A-16 Biosses2017;NCBI_BERT_pubmed_mimic_uncased_L-24_H-1024_A-16 nltk2018;NCBI_BERT_pubmed_mimic_uncased_L-24_H-1024_A-16 None;NCBI_BERT_pubmed_uncased_L-12_H-768_A-12 Biosses2017;NCBI_BERT_pubmed_uncased_L-12_H-768_A-12 nltk2018;NCBI_BERT_pubmed_uncased_L-12_H-768_A-12 None;NCBI_BERT_pubmed_uncased_L-24_H-1024_A-16 Biosses2017;NCBI_BERT_pubmed_uncased_L-24_H-1024_A-16 nltk2018;NCBI_BERT_pubmed_uncased_L-24_H-1024_A-16 None
3.5;0.985370244500708;0.9769537647398108;0.9876574375138553;0.985370244500708;0.9769537647398108;0.9876574375138553;0.985370244500708;0.9769537647398108;0.9876574375138553;0.9851962394135355;0.9837041172106122;0.982779009628612;0.9851962394135355;0.9837041172106122;0.982779009628612;0.9851962394135355;0.9837041172106122;0.982779009628612;0.9851962394135355;0.9837041172106122;0.982779009628612
2.5;0.9854555737145748;0.9778509571440018;0.9747382625339341;0.9854555737145748;0.9778509571440018;0.9747382625339341;0.9854555737145748;0.9778509571440018;0.9747382625339341;0.984091397320101;0.977605900516436;0.9728162067253592;0.984091397320101;0.977605900516436;0.9728162067253592;0.984091397320101;0.977605900516436;0.9728162067253592;0.984091397320101;0.977605900516436;0.9728162067253592
3.45;0.9793453760964468;0.9804085419379751;0.9819098925897315;0.9793453760964468;0.9804085419379751;0.9819098925897315;0.9793453760964468;0.9804085419379751;0.9819098925897315;0.9811007922982039;0.9812089252475027;0.9806471359056612;0.9811007922982039;0.9812089252475027;0.9806471359056612;0.9811007922982039;0.9812089252475027;0.9806471359056612;0.9811007922982039;0.9812089252475027;0.9806471359056612
4.0;0.9602870823791112;0.9616936642040234;0.9778680055806475;0.9602870823791112;0.9616936642040234;0.9778680055806475;0.9602870823791112;0.9616936642040234;0.9778680055806475;0.9606839535870632;0.9635259496311382;0.9778680055806475;0.9606839535870632;0.9635259496311382;0.9778680055806475;0.9606839535870632;0.9635259496311382;0.9778680055806475;0.9606839535870632;0.9635259496311382;0.9778680055806475
3.0;0.9654915190441302;0.9539338597842915;0.9673964510549724;0.9654915190441302;0.9539338597842915;0.9673964510549724;0.9654915190441302;0.9539338597842915;0.9673964510549724;0.9654915190441302;0.9539338597842915;0.9673964510549724;0.9654915190441302;0.9539338597842915;0.9673964510549724;0.9654915190441302;0.9539338597842915;0.9673964510549724;0.9654915190441302;0.9539338597842915;0.9673964510549724
2.0;0.961816140601202;0.9562122346262595;0.971299933356351;0.961816140601202;0.9562122346262595;0.971299933356351;0.961816140601202;0.9562122346262595;0.971299933356351;0.9583098124559333;0.9573055444603721;0.971299933356351;0.9583098124559333;0.9573055444603721;0.971299933356351;0.9583098124559333;0.9573055444603721;0.971299933356351;0.9583098124559333;0.9573055444603721;0.971299933356351
2.5;0.981962539164121;0.9906836880215237;0.9792003389542352;0.981962539164121;0.9906836880215237;0.9792003389542352;0.981962539164121;0.9906836880215237;0.9792003389542352;0.981962539164121;0.9906836880215237;0.9792003389542352;0.981962539164121;0.9906836880215237;0.9792003389542352;0.981962539164121;0.9906836880215237;0.9792003389542352;0.981962539164121;0.9906836880215237;0.9792003389542352
3.0;0.9758660220154743;0.9835382684057541;0.9804003229373939;0.9758660220154743;0.9835382684057541;0.9804003229373939;0.9758660220154743;0.9835382684057541;0.9804003229373939;0.9712585960262861;0.9775794254871943;0.9803468117794027;0.9712585960262861;0.9775794254871943;0.9803468117794027;0.9712585960262861;0.9775794254871943;0.9803468117794027;0.9712585960262861;0.9775794254871943;0.9803468117794027
0.0;0.9180608552181678;0.9217399940728637;0.9263228112028749;0.9180608552181678;0.9217399940728637;0.9263228112028749;0.9180608552181678;0.9217399940728637;0.9263228112028749;0.9156633101097883;0.9182163539693378;0.9263228112028749;0.9156633101097883;0.9182163539693378;0.9263228112028749;0.9156633101097883;0.9182163539693378;0.9263228112028749;0.9156633101097883;0.9182163539693378;0.9263228112028749
2.5;0.9627239911773994;0.9696802578339133;0.9693888481733585;0.9627239911773994;0.9696802578339133;0.9693888481733585;0.9627239911773994;0.9696802578339133;0.9693888481733585;0.9593374954772312;0.9518252264400702;0.9539589203796025;0.9593374954772312;0.9518252264400702;0.9539589203796025;0.9593374954772312;0.9518252264400702;0.9539589203796025;0.9593374954772312;0.9518252264400702;0.9539589203796025
