Human;biobert_v1.0_pubmed;biobert_v1.0_pmc;biobert_v1.0_pubmed_pmc;NCBI_BERT_pubmed_mimic_uncased_L-12_H-768_A-12;NCBI_BERT_pubmed_mimic_uncased_L-24_H-1024_A-16;NCBI_BERT_pubmed_uncased_L-12_H-768_A-12;NCBI_BERT_pubmed_uncased_L-24_H-1024_A-16
4.0;0.9582253378913976;0.96504305799216;0.9645859013226923;0.9425979678161107;0.9411527148841574;0.9258722920750181;0.9385517905982652
3.0;0.9516088723524073;0.9528714466883043;0.9583719443028889;0.9213786294686741;0.9203918279662573;0.8769582585208935;0.943738941176194
2.2;0.9559323528266769;0.9576673990150687;0.9570463971343285;0.9182612205549321;0.9089552531383692;0.8660523921023886;0.9198309411124883
3.2;0.968841531322131;0.9674333310821961;0.9564710701916271;0.9272152744465193;0.9293679222973263;0.8881112569349525;0.9432252113035805
3.2;0.9707954567299988;0.9640820060739108;0.9681186708084774;0.9194563606832615;0.9245376239393936;0.9074067498204783;0.9366414245833571
3.2;0.9681865920227792;0.9579502159066571;0.9472571356524517;0.945477829395506;0.9246904742379057;0.9074109383478274;0.9485654717881549
1.4;0.9259270509852404;0.9226647897573245;0.9166875526014726;0.8122997664272869;0.8290400419469119;0.8137069020915979;0.8832566339193594
3.0;0.9763228711802008;0.9666841842921746;0.9612516187258003;0.9291211976971028;0.944810639398683;0.9117430238682752;0.9390129663854213
1.4;0.9225830441085434;0.9323995724282448;0.9077161313683518;0.8541547981016977;0.9035527871943154;0.7994195525586539;0.9037947834527618
3.0;0.9614188779651445;0.9643155434645789;0.9591421428207206;0.9194856679182442;0.9147737525720266;0.9379292739080055;0.922870668650505
3.0;0.9617721977959655;0.9676992092203879;0.9632851096582473;0.9308677545834994;0.9440635355334013;0.88221994112757;0.9451966034793784
1.0;0.9428576309082178;0.9525141682734514;0.9490329792940377;0.7791137451908826;0.8483264827743323;0.8246002514314289;0.8709401029511874
3.0;0.9543281425134863;0.9569385628620873;0.9575953213225945;0.8882958672211106;0.8862793482475034;0.8469983572554057;0.925364856150226
2.0;0.9379222009224292;0.9477228801493658;0.9408821332434258;0.8921127571962092;0.9251855472774062;0.8333476039560274;0.9193040492206598
2.4;0.9526606188507412;0.9633173220595155;0.9588913608255858;0.9047061697058351;0.9247409537181986;0.928180810578512;0.955424324561543
3.4;0.9617313159081551;0.9522714720819281;0.9429325487573966;0.8819536613672954;0.9069731791914245;0.866210301549181;0.9308650403268119
3.0;0.9605599216990752;0.968539810704737;0.9522184049213362;0.9093997469292933;0.9200281068949164;0.8944030937759645;0.9406793337259569
2.0;0.9645845143051751;0.9687239076446161;0.9642840331227539;0.9028866189223902;0.8948479031476829;0.8734433416257631;0.9388412738335383
3.2;0.9599739494179884;0.969726116882813;0.9660301787694554;0.904183538123761;0.9247233339195434;0.9069119101405011;0.9467878621683233
2.0;0.9643262208287385;0.9637930602635549;0.955404560241442;0.9146049504056959;0.931419573006859;0.8871704357344364;0.9442891776493928
3.0;0.9692154669164554;0.9697921134048494;0.9557806191714987;0.9260390863609748;0.8901252476540468;0.9219689929604269;0.9312603541302783
1.2;0.9577191726656101;0.9460245648968205;0.9483659138384998;0.8391641781176219;0.8713779751386237;0.8873305669563959;0.9340178571481261
3.4;0.9604475451516716;0.969910665619225;0.9645989570736317;0.9337838915547061;0.9332398881647822;0.8895960098413563;0.9430861512192394
1.8;0.9595665367283934;0.9557704778732411;0.9448237580486317;0.9151920707421439;0.9041209380457126;0.873620379326021;0.9353957532771223
3.6;0.9484280740034713;0.9536856240232522;0.9500294818188149;0.884935567802162;0.9225085758766282;0.8465380902678342;0.8845493252345646
2.0;0.9523244520480811;0.9675325667563117;0.9547787650056443;0.8279880048220395;0.8414237752283854;0.8270092945556067;0.9083910184399606
2.4;0.9456151709028408;0.9566591213124501;0.9584619570228148;0.8547993652533006;0.891432029703661;0.895820643918824;0.9107287042959298
3.4;0.9282492413019946;0.9455425735806263;0.9387799424914641;0.827560507720787;0.8637817004028554;0.8515928462471021;0.9210537220895849
3.0;0.9726066572574174;0.9597734650734219;0.9557079567396414;0.9338205696935953;0.9451793728460058;0.9072070207117522;0.9556785484051668
4.0;0.9552613533702528;0.9572323763401398;0.9571481443812506;0.9063204189380871;0.9026355708750854;0.8954238805232824;0.9270353692951808
4.0;0.9708853537715001;0.9632991157405247;0.9504823572540645;0.9082483547612479;0.9450579554653572;0.9178826995093042;0.9553218107236761
3.4;0.9718017435411106;0.9771723299938125;0.9701674936357141;0.94109328936338;0.941170362896828;0.9381506497323379;0.9480283807536728
