Human;WBSM Lin StanfordCoreNLPv3_9_1;WBSM Lin BioCNLPTokenizer;WBSM Lin WhiteSpace;WBSM Cai StanfordCoreNLPv3_9_1;WBSM Cai BioCNLPTokenizer;WBSM Cai WhiteSpace;WBSM Resnik StanfordCoreNLPv3_9_1;WBSM Resnik BioCNLPTokenizer;WBSM Resnik WhiteSpace;WBSM WuPalmerFast StanfordCoreNLPv3_9_1;WBSM WuPalmerFast BioCNLPTokenizer;WBSM WuPalmerFast WhiteSpace;WBSM JiangConrath StanfordCoreNLPv3_9_1;WBSM JiangConrath BioCNLPTokenizer;WBSM JiangConrath WhiteSpace;WBSM CosNormJConrath StanfordCoreNLPv3_9_1;WBSM CosNormJConrath BioCNLPTokenizer;WBSM CosNormJConrath WhiteSpace
4.0;0.5229763603684908;0.5229763603684908;0.5229763603684908;0.5229763603684908;0.5229763603684908;0.5229763603684908;0.5229763603684908;0.5229763603684908;0.5229763603684908;0.6859943405700354;0.6859943405700354;0.6859943405700354;0.6859943405700354;0.6859943405700354;0.6859943405700354;0.5229763603684908;0.5229763603684908;0.5229763603684908
3.0;0.2694079530401624;0.2694079530401624;0.2694079530401624;0.2694079530401624;0.2694079530401624;0.2694079530401624;0.2694079530401624;0.2694079530401624;0.2694079530401624;0.6192231606984032;0.6192231606984032;0.6192231606984032;0.6192231606984032;0.6192231606984032;0.6192231606984032;0.2694079530401624;0.2694079530401624;0.2694079530401624
2.2;0.24535824603285925;0.24535824603285925;0.24535824603285925;0.24535824603285925;0.24535824603285925;0.24535824603285925;0.24535824603285925;0.24535824603285925;0.24535824603285925;0.6356417261637282;0.6356417261637282;0.6356417261637282;0.6356417261637282;0.6356417261637282;0.6356417261637282;0.24535824603285925;0.24535824603285925;0.24535824603285925
3.2;0.3588891627327475;0.31878835653166915;0.31878835653166915;0.3588891627327475;0.31878835653166915;0.31878835653166915;0.3588891627327475;0.31878835653166915;0.31878835653166915;0.6320816298242098;0.6135719910778963;0.6135719910778963;0.6135719910778963;0.6320816298242098;0.6135719910778963;0.3588891627327475;0.31878835653166915;0.31878835653166915
3.2;0.3903600291794133;0.3903600291794133;0.3903600291794133;0.3903600291794133;0.3903600291794133;0.3903600291794133;0.3903600291794133;0.3903600291794133;0.3903600291794133;0.7329409123199365;0.7329409123199365;0.7329409123199365;0.7329409123199365;0.7329409123199365;0.7329409123199365;0.3903600291794133;0.3903600291794133;0.3903600291794133
3.2;0.31378581622109447;0.31378581622109447;0.31378581622109447;0.31378581622109447;0.31378581622109447;0.31378581622109447;0.31378581622109447;0.31378581622109447;0.31378581622109447;0.6132223631495076;0.6132223631495076;0.6132223631495076;0.6132223631495076;0.6132223631495076;0.6132223631495076;0.31378581622109447;0.31378581622109447;0.31378581622109447
1.4;0.1386750490563073;0.14708710135363803;0.14708710135363803;0.1386750490563073;0.14708710135363803;0.14708710135363803;0.1386750490563073;0.14708710135363803;0.14708710135363803;0.5635759629410776;0.5865884600854132;0.5865884600854132;0.5865884600854132;0.5635759629410776;0.5865884600854132;0.1386750490563073;0.14708710135363803;0.14708710135363803
3.0;0.2279211529192759;0.2279211529192759;0.2279211529192759;0.2279211529192759;0.2279211529192759;0.2279211529192759;0.2279211529192759;0.2279211529192759;0.2279211529192759;0.5848976518656018;0.5848976518656018;0.5848976518656018;0.5848976518656018;0.5848976518656018;0.5848976518656018;0.2279211529192759;0.2279211529192759;0.2279211529192759
1.4;0.2113409861029041;0.2113409861029041;0.2155263624321299;0.2113409861029041;0.2113409861029041;0.2155263624321299;0.2113409861029041;0.2113409861029041;0.2155263624321299;0.7421231119972164;0.7421231119972164;0.7515389613672036;0.7407971974871922;0.7407971974871922;0.7502344849205331;0.2113409861029041;0.2113409861029041;0.2155263624321299
3.0;0.23717082451262844;0.23717082451262844;0.23717082451262844;0.23717082451262844;0.23717082451262844;0.23717082451262844;0.23717082451262844;0.23717082451262844;0.23717082451262844;0.686836568438571;0.686836568438571;0.686836568438571;0.686836568438571;0.686836568438571;0.686836568438571;0.23717082451262844;0.23717082451262844;0.23717082451262844
