Human;BioWordVec_extrinsic Biosses2017;BioWordVec_extrinsic nltk2018;BioWordVec_extrinsic None;BioWordVec_intrinsic Biosses2017;BioWordVec_intrinsic nltk2018;BioWordVec_intrinsic None;bioc_skipgram_defaultchar Biosses2017;bioc_skipgram_defaultchar nltk2018;bioc_skipgram_defaultchar None;bioc_skipgram_Defaultchar200dim_8ene Biosses2017;bioc_skipgram_Defaultchar200dim_8ene nltk2018;bioc_skipgram_Defaultchar200dim_8ene None;bioc_skipgram_Nonechar200dim Biosses2017;bioc_skipgram_Nonechar200dim nltk2018;bioc_skipgram_Nonechar200dim None;stanford_skipgram_nonechar200dim Biosses2017;stanford_skipgram_nonechar200dim nltk2018;stanford_skipgram_nonechar200dim None;stanf_skipgram_defaultchar200dim Biosses2017;stanf_skipgram_defaultchar200dim nltk2018;stanf_skipgram_defaultchar200dim None;BioNLP2016_PubMed-shuffle-win-2 Biosses2017;BioNLP2016_PubMed-shuffle-win-2 nltk2018;BioNLP2016_PubMed-shuffle-win-2 None;BioNLP2016_PubMed-shuffle-win-30 Biosses2017;BioNLP2016_PubMed-shuffle-win-30 nltk2018;BioNLP2016_PubMed-shuffle-win-30 None
4.0;0.8766436674886803;0.8766436674886803;0.9510660772880848;0.914135987643934;0.914135987643934;0.9690216183201639;0.8801406998917862;0.8801406998917862;0.9578032099314276;0.8884753642066019;0.8884753642066019;0.9620006649053052;0.8945704704643788;0.8945704704643788;0.9671056968407796;0.896796763366101;0.896796763366101;0.9662829978913412;0.8902480960192337;0.8902480960192337;0.9626993637455792;0.8434599981955407;0.8434599981955407;0.9257305399905698;0.8507359746821265;0.8507359746821265;0.9404454119289971
3.0;0.9124428987489263;0.9124428987489263;0.9556731292571977;0.9494594437534243;0.9494594437534243;0.9760946730317911;0.9255088785353754;0.9255088785353754;0.9617898324858423;0.9392173691126894;0.9392173691126894;0.9701408174718109;0.9487193150421913;0.9487193150421913;0.9752389528508812;0.9415234131228117;0.9415234131228117;0.9705806348211208;0.9411620723840836;0.9411620723840836;0.9708262959617454;0.8581414864779958;0.8581414864779958;0.9202352978308699;0.8806072210869303;0.8806072210869303;0.9404030258417285
2.2;0.9045334781089664;0.9045334781089664;0.948499921673979;0.928982745482043;0.928982745482043;0.9641115077552112;0.9087118664156248;0.9087118664156248;0.9546447711601136;0.9255385063165189;0.9255385063165189;0.9643299473419538;0.92508976795905;0.92508976795905;0.9631693182401079;0.9214366006896815;0.9214366006896815;0.9604187588118249;0.9235550880819694;0.9235550880819694;0.9625688346461424;0.8657199355755528;0.8657199355755528;0.9197503093661554;0.8875785564392803;0.8875785564392803;0.9308066663732527
3.2;0.9569683177182404;0.9540475884626001;0.9725114656436692;0.9712437195711462;0.9688153642504874;0.982995215479281;0.9685239623555238;0.9655911188533784;0.980120993020521;0.9736891342923358;0.9712976056264037;0.9837229881715644;0.9748487502973054;0.9723561365127449;0.9856518867725235;0.9722901867407986;0.9697777048465371;0.9838975477873352;0.9754534537978685;0.9730251650173466;0.9848490267456514;0.9237840052734625;0.9205682122037117;0.947649212008317;0.9399529437787084;0.9366863484505062;0.961134810988951
3.2;0.9381574929259793;0.9381574929259793;0.9488047129848638;0.9608070110551665;0.9608070110551665;0.9727935780741838;0.9540748155368983;0.9540748155368983;0.9669373732661934;0.9615832733665272;0.9615832733665272;0.9725299252443677;0.964897995172853;0.964897995172853;0.9762072877285853;0.9612203628406247;0.9612203628406247;0.9723405028240679;0.9618219901235271;0.9618219901235271;0.9722360463294971;0.8989610244193279;0.8989610244193279;0.9048489757644718;0.9225243315794603;0.9225243315794603;0.9428816448183613
3.2;0.8943686042973397;0.8943686042973397;0.9475502590201591;0.919945967700847;0.919945967700847;0.9628622780421769;0.8880290385564809;0.8880290385564809;0.9475009428516656;0.892116495936265;0.892116495936265;0.9529216197104022;0.9007293151414041;0.9007293151414041;0.9590965964808944;0.8954286536267034;0.8954286536267034;0.9545287581044644;0.9015036185856083;0.9015036185856083;0.9560167041576159;0.8613880797490581;0.8613880797490581;0.9215965968689485;0.8915970271967345;0.8915970271967345;0.934551779853877
1.4;0.7967887807629331;0.7967887807629331;0.8884993792565831;0.8526254390154121;0.8526254390154121;0.9250715798332082;0.8238321303966673;0.8238321303966673;0.912005422658737;0.8352465250445105;0.8352465250445105;0.9224840882338857;0.8432866409210307;0.8432866409210307;0.9277344902964841;0.8374830814934013;0.8374830814934013;0.921889243874881;0.8453727423268189;0.8453727423268189;0.9269632172283022;0.7498052327632001;0.7498052327632001;0.8529421275876152;0.7835683112110058;0.7835683112110058;0.8758271324351864
3.0;0.937534878380786;0.9364166452379474;0.9567230433194424;0.9602063004719363;0.9587370209900437;0.9734000634533058;0.947202681495432;0.9434733275886492;0.9648471447909864;0.95563242118094;0.9520208650305886;0.9709914702429361;0.9602221056936483;0.9588343395746991;0.9741363610187703;0.9544971602120258;0.9524578734996736;0.9705434093582346;0.9561488704995526;0.9528058865447413;0.9710968559802222;0.90410404460804;0.901910327762869;0.9299472904460618;0.924391874861423;0.9192548279447251;0.9474933039938072
1.4;0.8795360253116196;0.8795360253116196;0.914298115023391;0.9230686598660957;0.9230686598660957;0.9444733408100301;0.8696516445082313;0.8696516445082313;0.9031539499496886;0.8959997903200569;0.8959997903200569;0.9246743748075508;0.9068453374917166;0.9068453374917166;0.9339577586350242;0.8975218128369014;0.8975218128369014;0.9264220927139243;0.8978850352912002;0.8978850352912002;0.9273278748106585;0.8396812742016109;0.8396812742016109;0.8743325833215331;0.8560770825400317;0.8560770825400317;0.8898276110850135
3.0;0.9250908738549319;0.9250908738549319;0.9663566801680071;0.9521928685473118;0.9521928685473118;0.980105723637577;0.9355166933293687;0.9355166933293687;0.9725193429312443;0.946635708783906;0.946635708783906;0.9772420616756273;0.9568758482985269;0.9568758482985269;0.9817473255084705;0.9476970697666562;0.9476970697666562;0.9770232264508802;0.948206341055121;0.948206341055121;0.9778163532746665;0.891056695576534;0.891056695576534;0.9467991533090427;0.9161868292475144;0.9161868292475144;0.9602454316040933
