Human;biobert_v1.0_pubmed None;biobert_v1.0_pubmed Default;biobert_v1.0_pubmed BIOSSES;biobert_v1.0_pubmed Blagec;NCBI_BERT_pubmed_mimic_uncased_L-12_H-768_A-12 None;NCBI_BERT_pubmed_mimic_uncased_L-12_H-768_A-12 Default;NCBI_BERT_pubmed_mimic_uncased_L-12_H-768_A-12 BIOSSES;NCBI_BERT_pubmed_mimic_uncased_L-12_H-768_A-12 Blagec
4.0;0.9803725921646519;0.9517602602797043;0.9754481624158482;0.9754481624158482;0.9684325821096677;0.958409103497898;0.9710584385263832;0.9710584385263832
3.0;0.9620115244412977;0.9433571094760854;0.959610740826901;0.959610740826901;0.9544585992635164;0.9385849727223816;0.9559045044998894;0.9559045044998894
2.2;0.9551554476357665;0.951532399417651;0.9552305917345997;0.9552305917345997;0.9553385743496549;0.9544140784487348;0.9534148783711374;0.9534148783711374
3.2;0.9594065857251226;0.9630354723005713;0.9493653993447434;0.9493653993447434;0.9652087430571723;0.9707529827341662;0.9703497247053842;0.9703497247053842
3.2;0.9765064793129237;0.9742619570209173;0.9780153216376246;0.9780153216376246;0.9717364630979943;0.9721392147269281;0.9722937881485073;0.9722937881485073
3.2;0.9608962875989476;0.9588968156856493;0.9708645119611863;0.9708645119611863;0.9617104290851026;0.9486160875552733;0.971069130702645;0.971069130702645
1.4;0.929543129070712;0.9317501047809921;0.9334640008108973;0.9334640008108973;0.9343217976908963;0.9243315554259498;0.9348968952628917;0.9348968952628917
3.0;0.9790157754391721;0.9491293637167538;0.9792246449102865;0.9792246449102865;0.9742502675494302;0.9637893840189354;0.9714501550841326;0.9714501550841326
1.4;0.9036005961461956;0.9330655445567685;0.9052150449009877;0.9052150449009877;0.919738409250727;0.9295597454333211;0.9208723303148808;0.9208723303148808
3.0;0.9430844001552131;0.9343172883836568;0.9452501428119116;0.9452501428119116;0.9324542603878128;0.9250913733997227;0.9327151917759634;0.9327151917759634
3.0;0.9516519463720495;0.9606074336129026;0.9513589477729595;0.9513589477729595;0.9523838498182511;0.9488608437591388;0.9493158871068337;0.9493158871068337
1.0;0.9370572371409075;0.9363097813165296;0.9329155220822207;0.9329155220822207;0.9247708544384812;0.9391346104401582;0.9248384333273793;0.9248384333273793
3.0;0.9574284848328554;0.9677282070227683;0.9587889352266433;0.9587889352266433;0.950531064785867;0.963603333612982;0.9482310118402109;0.9482310118402109
2.0;0.9602157288061016;0.954291666816394;0.9576873412076962;0.9576873412076962;0.9592525296657797;0.9549620235798143;0.9606265484850337;0.9606265484850337
2.4;0.9774970778146579;0.9599231472032996;0.9711340060667233;0.9711340060667233;0.972932291681236;0.951004898424462;0.967183263642328;0.967183263642328
3.4;0.9604785655369951;0.9449111594874117;0.9590983418875959;0.9590983418875959;0.9540551387824797;0.9489034490995502;0.9575123984770623;0.9575123984770623
3.0;0.9465261653394016;0.9624940904443867;0.9542160880731636;0.9542160880731636;0.956765447968866;0.9654919354406822;0.9607317061244189;0.9607317061244189
2.0;0.9530329600019062;0.9339063821415866;0.9553996357276061;0.9553996357276061;0.9492584573619111;0.9435727866499668;0.95564023732091;0.95564023732091
3.2;0.9637423721889928;0.9552547099907778;0.9671623999381904;0.9671623999381904;0.9592096908428843;0.9478579967018351;0.9658820461447505;0.9658820461447505
2.0;0.9562720128985589;0.9579790219056593;0.9485681138975759;0.9485681138975759;0.9547072288223352;0.9530032378062611;0.9619991119246677;0.9619991119246677
3.0;0.9685412031059611;0.9647729475881716;0.968001695400735;0.968001695400735;0.9632013945276131;0.9664404176136855;0.9696095122703626;0.9696095122703626
1.2;0.9498250863617774;0.9496720224424036;0.9557856087250934;0.9557856087250934;0.9572952502326336;0.955143197097206;0.9616599824879576;0.9616599824879576
3.4;0.9580775485953202;0.9522498149098085;0.9547291655172964;0.9547291655172964;0.9410635345611035;0.9320247585189797;0.9480307222421093;0.9480307222421093
1.8;0.9522697656859619;0.9385052422444511;0.953275030499034;0.953275030499034;0.9452186388990205;0.9231523337662018;0.9517702915978737;0.9517702915978737
3.6;0.9665383033947865;0.963259424102015;0.9657583403113796;0.9657583403113796;0.9644431546920493;0.9652888103891026;0.9675140174385064;0.9675140174385064
2.0;0.9607584610450609;0.9463111806429985;0.9595943643672765;0.9595943643672765;0.9557547793574677;0.9308704235775591;0.942948616422631;0.942948616422631
