Human;universal-sentence-encoder-4;universal-sentence-encoder-4
4.0;0.4517858212943833;0.4517858212943833
3.0;0.5754257724270864;0.5754257724270864
2.2;0.4806680158058603;0.4806680158058603
3.2;0.7133703213023291;0.7133703213023291
3.2;0.5843598663714292;0.5843598663714292
3.2;0.5308887878079817;0.5308887878079817
1.4;0.30157641764377763;0.30157641764377763
3.0;0.3763517984877617;0.3763517984877617
1.4;0.42977396507387294;0.42977396507387294
3.0;0.54336610294429;0.54336610294429
3.0;0.5429377978529013;0.5429377978529013
1.0;0.16998889151624638;0.16998889151624638
3.0;0.3025634931321761;0.3025634931321761
2.0;0.4214289823661629;0.4214289823661629
2.4;0.5284709657179524;0.5284709657179524
3.4;0.39851680968490644;0.39851680968490644
3.0;0.5369488410073525;0.5369488410073525
2.0;0.21289536252367972;0.21289536252367972
3.2;0.6341331726484128;0.6341331726484128
2.0;0.6843587391690572;0.6843587391690572
3.0;0.5582870395094814;0.5582870395094814
1.2;0.20895565888143883;0.20895565888143883
3.4;0.6165950765496432;0.6165950765496432
1.8;0.3745744766472738;0.3745744766472738
3.6;0.5530199473518992;0.5530199473518992
2.0;0.5132020917836364;0.5132020917836364
2.4;0.4122438982596178;0.4122438982596178
3.4;0.19014650790232993;0.19014650790232993
3.0;0.5023015327144222;0.5023015327144222
4.0;0.2018528995447442;0.2018528995447442
4.0;0.5286317872152377;0.5286317872152377
3.4;0.545491691752098;0.545491691752098
3.4;0.27951078715903455;0.27951078715903455
3.0;0.013355654943872801;0.013355654943872801
2.0;0.3433588429061468;0.3433588429061468
3.8;0.7048885495473332;0.7048885495473332
3.4;0.5517584542448368;0.5517584542448368
2.0;0.3360788025034991;0.3360788025034991
4.0;0.5926306158983269;0.5926306158983269
3.2;0.6199691179273433;0.6199691179273433
2.2;0.24483054129950962;0.24483054129950962
3.0;0.5985448626502395;0.5985448626502395
2.0;0.3329211366905843;0.3329211366905843
0.6;0.45090975492135493;0.45090975492135493
3.2;0.46844264594202095;0.46844264594202095
3.6;0.4304266578731816;0.4304266578731816
1.0;0.382394089583723;0.382394089583723
1.8;0.5279895815897138;0.5279895815897138
2.8;0.13425859491775358;0.13425859491775358
2.8;0.1625752250162537;0.1625752250162537
1.8;0.48654403536419516;0.48654403536419516
1.8;0.36646387578904954;0.36646387578904954
2.6;0.5663561440845517;0.5663561440845517
1.4;0.18721269219117512;0.18721269219117512
3.0;0.3325221758557601;0.3325221758557601
0.6;0.21155609535445546;0.21155609535445546
1.8;0.4412870556495568;0.4412870556495568
3.0;0.3536526555378197;0.3536526555378197
3.0;0.5379726566892555;0.5379726566892555
3.8;0.673748168962162;0.673748168962162
2.4;0.3828569391819299;0.3828569391819299
3.6;0.5222304579707939;0.5222304579707939
2.8;0.5779619164302315;0.5779619164302315
3.6;0.5587494305833095;0.5587494305833095
3.0;0.5817276601861663;0.5817276601861663
0.0;0.2692702752354201;0.2692702752354201
0.0;0.06850292351414777;0.06850292351414777
0.2;0.1717035983052636;0.1717035983052636
0.0;0.1613112023804517;0.1613112023804517
0.2;0.1822250417049492;0.1822250417049492
0.2;0.0205303732208079;0.0205303732208079
1.8;0.34101966074084517;0.34101966074084517
1.4;0.34441065811497834;0.34441065811497834
1.8;0.15738179500410623;0.15738179500410623
2.0;0.38801620937147047;0.38801620937147047
0.0;0.1429712693680493;0.1429712693680493
0.8;0.29367059358670217;0.29367059358670217
2.2;0.3961922204591228;0.3961922204591228
1.4;0.33162549344115827;0.33162549344115827
1.8;0.5062743824564407;0.5062743824564407
3.0;0.5164562331287358;0.5164562331287358
1.2;0.3556526567287256;0.3556526567287256
0.2;0.09529149871358064;0.09529149871358064
0.2;0.12601352662118415;0.12601352662118415
0.6;0.24476893922750256;0.24476893922750256
0.2;0.14836060861243947;0.14836060861243947
0.2;0.060427538435897106;0.060427538435897106
0.0;0.08491785467811708;0.08491785467811708
0.2;0.2255917291674478;0.2255917291674478
0.2;-0.10215986067169856;-0.10215986067169856
2.0;0.2196112011197576;0.2196112011197576
2.8;0.48965094903081413;0.48965094903081413
2.0;0.24956216952234825;0.24956216952234825
4.0;0.6762469557735438;0.6762469557735438
3.0;0.5471805494710521;0.5471805494710521
3.2;0.4182210572521475;0.4182210572521475
1.6;0.12706857535223262;0.12706857535223262
2.4;0.28912264413464983;0.28912264413464983
3.2;0.357395493771507;0.357395493771507
1.8;-0.07019261885107715;-0.07019261885107715
