Human;Jaccard None;Jaccard Default;Jaccard BIOSSES;Jaccard Blagec;Qgram None;Qgram Default;Qgram BIOSSES;Qgram Blagec;BlockDistance None;BlockDistance Default;BlockDistance BIOSSES;BlockDistance Blagec;OverlapCoefficient None;OverlapCoefficient Default;OverlapCoefficient BIOSSES;OverlapCoefficient Blagec;Levenshtein None;Levenshtein Default;Levenshtein BIOSSES;Levenshtein Blagec
3.5;0.875;0.8666666666666667;0.8823529411764706;0.8823529411764706;0.9333333333333333;0.9292929292929293;0.9371980676328502;0.9371980676328502;0.9333333373069763;0.9285714030265808;0.9375;0.9375;1.0;1.0;1.0;1.0;0.8899082568807339;0.883495145631068;0.897196261682243;0.897196261682243
2.5;0.46153846153846156;0.4166666666666667;0.39285714285714285;0.39285714285714285;0.6779661016949152;0.6729559748427674;0.6510263929618768;0.6510263929618768;0.6896551847457886;0.6499999761581421;0.6086956262588501;0.6086956262588501;0.8;0.7692307692307693;0.7857142857142857;0.7857142857142857;0.6172248803827751;0.6149732620320856;0.5853658536585367;0.5853658536585367
3.45;0.5263157894736842;0.47058823529411764;0.45454545454545453;0.45454545454545453;0.6737967914438503;0.631578947368421;0.6326530612244898;0.6326530612244898;0.7272727489471436;0.6399999856948853;0.6060606241226196;0.6060606241226196;0.7142857142857143;0.6666666666666666;0.6666666666666666;0.6666666666666666;0.5157894736842106;0.5172413793103448;0.505050505050505;0.505050505050505
4.0;0.7272727272727273;0.7142857142857143;0.7272727272727273;0.7272727272727273;0.8336842105263158;0.8299319727891157;0.8351012536162006;0.8351012536162006;0.843537449836731;0.8429751992225647;0.8433734774589539;0.8433734774589539;1.0;1.0;1.0;1.0;0.713768115942029;0.7081712062256809;0.7159468438538206;0.7159468438538206
3.0;0.18181818181818182;0.15789473684210525;0.2;0.2;0.30208333333333337;0.30434782608695654;0.2753036437246964;0.2753036437246964;0.2857142686843872;0.25;0.30000001192092896;0.30000001192092896;0.36363636363636365;0.3333333333333333;0.4;0.4;0.3931623931623932;0.3982300884955752;0.37254901960784315;0.37254901960784315
2.0;0.25925925925925924;0.24;0.29411764705882354;0.29411764705882354;0.423728813559322;0.42105263157894735;0.44982698961937717;0.44982698961937717;0.3888888955116272;0.375;0.4399999976158142;0.4399999976158142;0.4375;0.4;0.45454545454545453;0.45454545454545453;0.5038759689922481;0.49593495934959353;0.5135135135135135;0.5135135135135135
2.5;0.45454545454545453;0.4423076923076923;0.515625;0.515625;0.5788617886178862;0.5843478260869566;0.6296296296296297;0.6296296296296297;0.5833333730697632;0.585365891456604;0.6722688674926758;0.6722688674926758;0.78125;0.7666666666666667;0.825;0.825;0.5459459459459459;0.5549132947976878;0.5823389021479713;0.5823389021479713
3.0;0.45;0.3888888888888889;0.3684210526315789;0.3684210526315789;0.6008230452674896;0.5851528384279476;0.5726495726495726;0.5726495726495726;0.6470588445663452;0.5925925970077515;0.5714285373687744;0.5714285373687744;0.6428571428571429;0.5833333333333334;0.5833333333333334;0.5833333333333334;0.6106870229007634;0.6;0.5769230769230769;0.5769230769230769
0.0;0.045454545454545456;0.0;0.13793103448275862;0.13793103448275862;0.061855670103092786;0.043010752688172005;0.21886792452830184;0.21886792452830184;0.08333331346511841;0.0;0.3500000238418579;0.3500000238418579;0.09090909090909091;0.0;0.26666666666666666;0.26666666666666666;0.23809523809523814;0.22330097087378642;0.31506849315068497;0.31506849315068497
2.5;0.3888888888888889;0.3125;0.35294117647058826;0.35294117647058826;0.48756218905472637;0.4540540540540541;0.47120418848167545;0.47120418848167545;0.6206896305084229;0.476190447807312;0.52173912525177;0.52173912525177;0.5833333333333334;0.5;0.5454545454545454;0.5454545454545454;0.5742574257425743;0.5591397849462365;0.5729166666666667;0.5729166666666667
3.0;0.7857142857142857;0.75;0.8125;0.8125;0.8944723618090452;0.8900523560209423;0.9066666666666666;0.9066666666666666;0.8799999952316284;0.8571428656578064;0.8965517282485962;0.8965517282485962;0.9166666666666666;0.9;0.9285714285714286;0.9285714285714286;0.8823529411764706;0.8775510204081632;0.8956521739130435;0.8956521739130435
0.5;0.14285714285714285;0.05555555555555555;0.1935483870967742;0.1935483870967742;0.25263157894736843;0.2325581395348837;0.34944237918215615;0.34944237918215615;0.20689654350280762;0.0952380895614624;0.3478260636329651;0.3478260636329651;0.375;0.16666666666666666;0.5;0.5;0.30000000000000004;0.3113207547169812;0.3173652694610778;0.3173652694610778
3.0;0.425531914893617;0.38636363636363635;0.3770491803278688;0.3770491803278688;0.5010526315789474;0.4988662131519275;0.5435540069686411;0.5435540069686411;0.5454545021057129;0.5151515007019043;0.5769230723381042;0.5769230723381042;0.7407407407407407;0.7083333333333334;0.6764705882352942;0.6764705882352942;0.363036303630363;0.3629893238434164;0.3700564971751412;0.3700564971751412
4.1;0.7222222222222222;0.6875;0.7391304347826086;0.7391304347826086;0.8507462686567164;0.8306451612903226;0.8511904761904762;0.8511904761904762;0.8648648858070374;0.8148148059844971;0.8571428656578064;0.8571428656578064;0.8666666666666667;0.8461538461538461;0.8947368421052632;0.8947368421052632;0.8235294117647058;0.8095238095238095;0.8160919540229885;0.8160919540229885
3.5;0.6428571428571429;0.7272727272727273;0.6111111111111112;0.6111111111111112;0.8260869565217391;0.8409090909090909;0.7345132743362832;0.7345132743362832;0.75;0.800000011920929;0.6470588445663452;0.6470588445663452;0.9;1.0;0.9166666666666666;0.9166666666666666;0.7450980392156863;0.7551020408163265;0.5772357723577235;0.5772357723577235
4.0;0.8148148148148148;0.8;0.8214285714285714;0.8214285714285714;0.886021505376344;0.8782816229116945;0.8864142538975501;0.8864142538975501;0.9210526347160339;0.9056603908538818;0.9180327653884888;0.9180327653884888;0.9565217391304348;0.9523809523809523;0.9583333333333334;0.9583333333333334;0.8433734939759037;0.8355555555555556;0.8458333333333333;0.8458333333333333
2.5;0.42424242424242425;0.3793103448275862;0.41025641025641024;0.41025641025641024;0.5359801488833746;0.5322997416020672;0.5336225596529285;0.5336225596529285;0.5283018946647644;0.48888885974884033;0.5074626803398132;0.5074626803398132;0.7;0.6470588235294118;0.7272727272727273;0.7272727272727273;0.5282258064516129;0.5252100840336135;0.5017182130584192;0.5017182130584192
4.0;0.8571428571428571;0.8461538461538461;0.8571428571428571;0.8571428571428571;0.8661654135338346;0.8657187993680885;0.8646408839779005;0.8646408839779005;0.8604651093482971;0.8571428656578064;0.8484848737716675;0.8484848737716675;0.96;0.9565217391304348;0.9375;0.9375;0.7541436464088398;0.752906976744186;0.75;0.75
4.0;0.6153846153846154;0.5833333333333334;0.59375;0.59375;0.7628458498023716;0.7551867219917012;0.7639639639639639;0.7639639639639639;0.7272727489471436;0.7037037014961243;0.7272727489471436;0.7272727489471436;0.8421052631578947;0.8235294117647058;0.7916666666666666;0.7916666666666666;0.5766423357664234;0.5692307692307692;0.5791245791245792;0.5791245791245792
4.1;0.6666666666666666;0.6153846153846154;0.6842105263157895;0.6842105263157895;0.7184466019417476;0.71875;0.7224334600760456;0.7224334600760456;0.7857142686843872;0.761904776096344;0.7692307829856873;0.7692307829856873;0.9090909090909091;0.8888888888888888;0.8666666666666667;0.8666666666666667;0.55;0.5357142857142857;0.543046357615894;0.543046357615894
4.0;0.6923076923076923;0.8;0.6363636363636364;0.6363636363636364;0.7804878048780488;0.7948717948717949;0.73109243697479;0.73109243697479;0.75;0.800000011920929;0.6976743936538696;0.6976743936538696;0.8181818181818182;0.8888888888888888;0.9333333333333333;0.9333333333333333;0.8148148148148149;0.8181818181818181;0.6666666666666667;0.6666666666666667
