Human;WBSM Lin Biosses2017;WBSM Lin nltk2018;WBSM Lin None;WBSM Cai Biosses2017;WBSM Cai nltk2018;WBSM Cai None;WBSM Resnik Biosses2017;WBSM Resnik nltk2018;WBSM Resnik None;WBSM WuPalmerFast Biosses2017;WBSM WuPalmerFast nltk2018;WBSM WuPalmerFast None;WBSM JiangConrath Biosses2017;WBSM JiangConrath nltk2018;WBSM JiangConrath None;WBSM CosNormJConrath Biosses2017;WBSM CosNormJConrath nltk2018;WBSM CosNormJConrath None
3.5;0.9198662110078;0.9198662110078;0.9309493362512627;0.9198662110078;0.9198662110078;0.9309493362512627;0.9198662110078;0.9198662110078;0.9309493362512627;0.9198662110078;0.9198662110078;0.9309493362512627;0.9198662110078;0.9198662110078;0.9309493362512627;0.9198662110078;0.9198662110078;0.9309493362512627
2.5;0.6052275326688025;0.6052275326688025;0.5879747322073337;0.6052275326688025;0.6052275326688025;0.5879747322073337;0.6052275326688025;0.6052275326688025;0.5879747322073337;0.8841376774252009;0.8841376774252009;0.8587671834622287;0.8839599998785473;0.8839599998785473;0.8587538611150074;0.6052275326688025;0.6052275326688025;0.5879747322073337
3.45;0.6405126152203486;0.6405126152203486;0.6262242910851494;0.6405126152203486;0.6405126152203486;0.6262242910851494;0.6405126152203486;0.6405126152203486;0.6262242910851494;1.0;1.0;0.9770084209183943;1.0;1.0;0.9770084209183943;0.6405126152203486;0.6405126152203486;0.6262242910851494
4.0;0.8395939690034019;0.8395939690034019;0.8485281374238569;0.8395939690034019;0.8395939690034019;0.8485281374238569;0.8395939690034019;0.8395939690034019;0.8485281374238569;0.9143662142547109;0.9143662142547109;0.9092121131323904;0.9143662142547109;0.9143662142547109;0.9092121131323904;0.8395939690034019;0.8395939690034019;0.8485281374238569
3.0;0.2773500981126146;0.2773500981126146;0.3464101615137754;0.2773500981126146;0.2773500981126146;0.3464101615137754;0.2773500981126146;0.2773500981126146;0.3464101615137754;0.8520128672302585;0.8520128672302585;0.7979249985750353;0.8520128672302585;0.8520128672302585;0.7979249985750353;0.2773500981126146;0.2773500981126146;0.3464101615137754
2.0;0.3872983346207417;0.3872983346207417;0.45454545454545453;0.3872983346207417;0.3872983346207417;0.45454545454545453;0.3872983346207417;0.3872983346207417;0.45454545454545453;0.7807200583588266;0.7807200583588266;0.7407407407407407;0.7807200583588266;0.7807200583588266;0.7407407407407407;0.3872983346207417;0.3872983346207417;0.45454545454545453
2.5;0.6052099385894467;0.6052099385894467;0.678091890852701;0.6052099385894467;0.6052099385894467;0.678091890852701;0.6052099385894467;0.6052099385894467;0.678091890852701;0.7998971731801373;0.7998971731801373;0.8339078479367937;0.7998971731801373;0.7998971731801373;0.8339078479367937;0.6052099385894467;0.6052099385894467;0.678091890852701
3.0;0.5604485383178051;0.5604485383178051;0.5400617248673217;0.5604485383178051;0.5604485383178051;0.5400617248673217;0.5604485383178051;0.5604485383178051;0.5400617248673217;0.8767140075192092;0.8767140075192092;0.8520128672302585;0.8767140075192092;0.8767140075192092;0.8520128672302585;0.5604485383178051;0.5604485383178051;0.5400617248673217
0.0;0.0;0.0;0.24343224778007383;0.0;0.0;0.24343224778007383;0.0;0.0;0.24343224778007383;0.7219295436604961;0.7219295436604961;0.7183254632931731;0.7130240959073808;0.7130240959073808;0.7126966450997985;0.0;0.0;0.24343224778007383
2.5;0.4767312946227962;0.4767312946227962;0.5222329678670935;0.4767312946227962;0.4767312946227962;0.5222329678670935;0.4767312946227962;0.4767312946227962;0.5222329678670935;0.8970852271450606;0.8970852271450606;0.9036961141150639;0.8970852271450606;0.8970852271450606;0.9036961141150639;0.4767312946227962;0.4767312946227962;0.5222329678670935
