Human;Jaccard;Qgram;BlockDistance;OverlapCoefficient;Levenshtein
4.0;0.2;0.3857142857142857;0.3333333134651184;0.42857142857142855;0.4819277108433735
3.0;0.10810810810810811;0.353887399463807;0.2222222089767456;0.2222222222222222;0.28019323671497587
2.2;0.06060606060606061;0.20350877192982453;0.1111111044883728;0.11764705882352941;0.23129251700680276
3.2;0.17073170731707318;0.44803695150115475;0.2857142686843872;0.3888888888888889;0.3394833948339483
3.2;0.23076923076923078;0.405144694533762;0.3529411554336548;0.4;0.3184713375796179
3.2;0.0967741935483871;0.3102310231023102;0.162162184715271;0.17647058823529413;0.2831325301204819
1.4;0.03571428571428571;0.10480349344978168;0.06666666269302368;0.08333333333333333;0.2556390977443609
3.0;0.13043478260869565;0.3706896551724138;0.23076921701431274;0.3333333333333333;0.3092105263157895
1.4;0.05405405405405406;0.17714285714285716;0.0952380895614624;0.10526315789473684;0.2806122448979592
3.0;0.058823529411764705;0.19871794871794868;0.10810810327529907;0.14285714285714285;0.27884615384615385
3.0;0.12903225806451613;0.3761194029850746;0.2222222089767456;0.3076923076923077;0.375
1.0;0.0;0.09282700421940926;0.0;0.0;0.19767441860465118
3.0;0.18181818181818182;0.2857142857142857;0.307692289352417;0.3333333333333333;0.3661971830985915
2.0;0.16666666666666666;0.35789473684210527;0.2777777910232544;0.3333333333333333;0.2767295597484277
2.4;0.21052631578947367;0.4057971014492754;0.3333333134651184;0.4444444444444444;0.3481481481481481
3.4;0.17391304347826086;0.43220338983050843;0.29629629850387573;0.3333333333333333;0.4206349206349206
3.0;0.1724137931034483;0.32413793103448274;0.2777777910232544;0.3125;0.21232876712328763
2.0;0.03571428571428571;0.14634146341463417;0.06666666269302368;0.08333333333333333;0.26119402985074625
3.2;0.22727272727272727;0.44194756554307113;0.3999999761581421;0.4166666666666667;0.35416666666666663
2.0;0.12121212121212122;0.2805194805194805;0.2222222089767456;0.3333333333333333;0.27862595419847325
3.0;0.1111111111111111;0.3493975903614458;0.19999998807907104;0.2857142857142857;0.2912621359223301
1.2;0.0;0.11299435028248583;0.0;0.0;0.2543859649122807
3.4;0.23333333333333334;0.4902506963788301;0.3684210777282715;0.4117647058823529;0.3979591836734694
1.8;0.07692307692307693;0.30604982206405695;0.13793104887008667;0.18181818181818182;0.32704402515723274
3.6;0.1111111111111111;0.21111111111111114;0.19999998807907104;0.25;0.3047619047619048
