Human;Jaccard StanfordCoreNLPv3_9_1;Jaccard BioCNLPTokenizer;Jaccard WhiteSpace;Qgram StanfordCoreNLPv3_9_1;Qgram BioCNLPTokenizer;Qgram WhiteSpace;BlockDistance StanfordCoreNLPv3_9_1;BlockDistance BioCNLPTokenizer;BlockDistance WhiteSpace;OverlapCoefficient StanfordCoreNLPv3_9_1;OverlapCoefficient BioCNLPTokenizer;OverlapCoefficient WhiteSpace;Levenshtein StanfordCoreNLPv3_9_1;Levenshtein BioCNLPTokenizer;Levenshtein WhiteSpace
3.5;0.8823529411764706;0.8666666666666667;0.8666666666666667;0.9333333333333333;0.9278350515463918;0.9278350515463918;0.9375;0.9285714030265808;0.9285714030265808;1.0;1.0;1.0;0.8899082568807339;0.8811881188118812;0.8811881188118812
2.5;0.39285714285714285;0.39285714285714285;0.39285714285714285;0.6510263929618768;0.6510263929618768;0.6510263929618768;0.6086956262588501;0.6086956262588501;0.6086956262588501;0.7857142857142857;0.7857142857142857;0.7857142857142857;0.5853658536585367;0.5853658536585367;0.5853658536585367
3.45;0.45454545454545453;0.45454545454545453;0.45454545454545453;0.6326530612244898;0.6326530612244898;0.6326530612244898;0.6060606241226196;0.6060606241226196;0.6060606241226196;0.6666666666666666;0.6666666666666666;0.6666666666666666;0.505050505050505;0.505050505050505;0.505050505050505
4.0;0.7272727272727273;0.72;0.72;0.8357348703170029;0.8305252725470763;0.8305252725470763;0.8433734774589539;0.8354430198669434;0.8354430198669434;1.0;1.0;1.0;0.7168874172185431;0.7091836734693877;0.7091836734693877
3.0;0.20689655172413793;0.20689655172413793;0.20689655172413793;0.291497975708502;0.291497975708502;0.291497975708502;0.307692289352417;0.307692289352417;0.307692289352417;0.4;0.4;0.4;0.3841059602649006;0.3841059602649006;0.3841059602649006
2.0;0.29411764705882354;0.29411764705882354;0.29411764705882354;0.44982698961937717;0.44982698961937717;0.44982698961937717;0.4399999976158142;0.4399999976158142;0.4399999976158142;0.45454545454545453;0.45454545454545453;0.45454545454545453;0.5135135135135135;0.5135135135135135;0.5135135135135135
2.5;0.515625;0.5;0.5;0.6297872340425532;0.6284875183553598;0.6284875183553598;0.6722688674926758;0.6725664138793945;0.6725664138793945;0.825;0.8157894736842105;0.8157894736842105;0.5819477434679334;0.5714285714285714;0.5714285714285714
3.0;0.3684210526315789;0.3684210526315789;0.3684210526315789;0.5726495726495726;0.5726495726495726;0.5726495726495726;0.5714285373687744;0.5714285373687744;0.5714285373687744;0.5833333333333334;0.5833333333333334;0.5833333333333334;0.5769230769230769;0.5769230769230769;0.5769230769230769
0.0;0.13793103448275862;0.13793103448275862;0.13793103448275862;0.21886792452830184;0.21886792452830184;0.21886792452830184;0.3500000238418579;0.3500000238418579;0.3500000238418579;0.26666666666666666;0.26666666666666666;0.26666666666666666;0.31506849315068497;0.31506849315068497;0.31506849315068497
2.5;0.35294117647058826;0.35294117647058826;0.35294117647058826;0.47120418848167545;0.47120418848167545;0.47120418848167545;0.52173912525177;0.52173912525177;0.52173912525177;0.5454545454545454;0.5454545454545454;0.5454545454545454;0.5729166666666667;0.5729166666666667;0.5729166666666667
3.0;0.8125;0.8125;0.8125;0.9066666666666666;0.9066666666666666;0.9066666666666666;0.8965517282485962;0.8965517282485962;0.8965517282485962;0.9285714285714286;0.9285714285714286;0.9285714285714286;0.8956521739130435;0.8956521739130435;0.8956521739130435
0.5;0.1935483870967742;0.1935483870967742;0.16129032258064516;0.35205992509363293;0.35205992509363293;0.35205992509363293;0.3478260636329651;0.3478260636329651;0.3181818127632141;0.5;0.5;0.4166666666666667;0.32121212121212117;0.32121212121212117;0.32121212121212117
3.0;0.3770491803278688;0.3559322033898305;0.3559322033898305;0.5426086956521738;0.5335753176043557;0.5335753176043557;0.5769230723381042;0.5714285373687744;0.5714285373687744;0.6764705882352942;0.65625;0.65625;0.3718309859154929;0.3775811209439528;0.3775811209439528
4.1;0.7391304347826086;0.7391304347826086;0.7391304347826086;0.8511904761904762;0.8511904761904762;0.8511904761904762;0.8571428656578064;0.8571428656578064;0.8571428656578064;0.8947368421052632;0.8947368421052632;0.8947368421052632;0.8160919540229885;0.8160919540229885;0.8160919540229885
3.5;0.6111111111111112;0.6111111111111112;0.6111111111111112;0.7345132743362832;0.7345132743362832;0.7345132743362832;0.6470588445663452;0.6470588445663452;0.6470588445663452;0.9166666666666666;0.9166666666666666;0.9166666666666666;0.5772357723577235;0.5772357723577235;0.5772357723577235
4.0;0.8214285714285714;0.8214285714285714;0.8214285714285714;0.8864142538975501;0.8864142538975501;0.8864142538975501;0.9180327653884888;0.9180327653884888;0.9180327653884888;0.9583333333333334;0.9583333333333334;0.9583333333333334;0.8458333333333333;0.8458333333333333;0.8458333333333333
2.5;0.41025641025641024;0.8888888888888888;0.41025641025641024;0.5281385281385281;0.9739130434782609;0.5281385281385281;0.5074626803398132;0.9411764740943909;0.5074626803398132;0.7272727272727273;0.9411764705882353;0.7272727272727273;0.5051546391752577;0.9911504424778761;0.5051546391752577
4.0;0.8571428571428571;0.8571428571428571;0.8571428571428571;0.863448275862069;0.863448275862069;0.863448275862069;0.8484848737716675;0.8484848737716675;0.8484848737716675;0.9375;0.9375;0.9375;0.7480916030534351;0.7480916030534351;0.7480916030534351
4.0;0.59375;0.59375;0.59375;0.762589928057554;0.762589928057554;0.762589928057554;0.7272727489471436;0.7272727489471436;0.7272727489471436;0.7916666666666666;0.7916666666666666;0.7916666666666666;0.5771812080536913;0.5771812080536913;0.5771812080536913
4.1;0.6842105263157895;0.6842105263157895;0.6842105263157895;0.7224334600760456;0.7224334600760456;0.7224334600760456;0.7692307829856873;0.7692307829856873;0.7692307829856873;0.8666666666666667;0.8666666666666667;0.8666666666666667;0.543046357615894;0.543046357615894;0.543046357615894
4.0;0.6363636363636364;0.6363636363636364;0.6363636363636364;0.73109243697479;0.73109243697479;0.73109243697479;0.6976743936538696;0.6976743936538696;0.6976743936538696;0.9333333333333333;0.9333333333333333;0.9333333333333333;0.6666666666666667;0.6666666666666667;0.6666666666666667
